"ANVI.action","SEPA.action","TRFL.action","PAAN.action","SCIN.action","SOPI.action","ANVI.outcome","SEPA.outcome","TRFL.outcome","PAAN.outcome","SCIN.outcome","SOPI.outcome","parasite_richness.desirability","percent_cover.desirability","diversity.desirability"
0,0,0,1,0,0,0,0,0,1,0,0,4.61761761761762,-0.486284514719375,0
1,0,1,1,1,1,1,0,1,1,1,1,4.75175175175175,-0.108802859674371,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,5,-1.40133223860528,0
0,0,0,0,0,1,0,0,0,0,0,1,5.65865865865866,-0.136682986952344,0
0,0,0,0,0,1,0,0,0,0,0,1,6.3963963963964,0.0240148760769257,0
1,1,0,1,1,1,1,1,0,1,1,1,3.76276276276276,-0.117783035632773,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,4.56456456456456,0.450013484478408,0
1,1,1,1,0,1,1,1,1,1,0,1,4.8008008008008,0.509224342293994,1.6094379124341
0,1,0,0,0,0,0,1,0,0,0,0,6.45445445445445,-0.409586397573005,0
0,1,1,1,1,1,0,1,1,1,1,1,4.69269269269269,-0.657918488593299,1.6094379124341
1,0,1,1,1,1,1,0,1,1,1,1,5.91491491491491,0.115998913830531,1.6094379124341
0,1,0,0,0,0,0,1,0,0,0,0,4,0.901901994492346,0
0,0,0,0,1,0,0,0,0,0,1,0,4.14714714714715,-0.318453731032171,0
1,1,0,1,1,1,1,1,0,1,1,1,5.81181181181181,-0.0210534092188872,1.6094379124341
0,0,0,1,0,0,0,0,0,1,0,0,3,2.50737950497151,0
1,1,1,0,1,1,1,1,1,0,1,1,4.97297297297297,0.248179629630991,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,4,1.96225928719722,0
1,1,1,1,0,1,1,1,1,1,0,1,3,2.12823170609546,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,4,0.768048488505342,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,5,2.70805020110221,0
1,1,1,1,1,0,1,1,1,1,1,0,4,0.919793362425357,1.6094379124341
1,1,1,1,1,0,1,1,1,1,1,0,5.22122122122122,-0.191891007985624,1.6094379124341
1,1,1,0,1,1,1,1,1,0,1,1,3.57557557557558,0.262048524684321,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,3.51351351351351,-0.250410677771669,0
1,1,0,1,1,1,1,1,0,1,1,1,4.02902902902903,-0.156160730912079,1.6094379124341
0,0,0,0,0,1,0,0,0,0,0,1,4.18018018018018,-0.099529595535344,0
0,1,0,0,0,0,0,1,0,0,0,0,2.79379379379379,-1.11861295546323,0
1,1,1,0,1,1,1,1,1,0,1,1,1.81681681681682,-0.268263986730426,1.6094379124341
1,1,1,0,1,1,1,1,1,0,1,1,3.32132132132132,-1.39407650140594,1.6094379124341
0,1,0,0,0,0,0,1,0,0,0,0,1.67167167167167,0.427444014848968,0
0,0,0,1,0,0,0,0,0,1,0,0,4.55155155155155,NA,0
1,0,1,1,1,1,1,0,1,1,1,1,2,-0.950976289813115,1.6094379124341
1,1,1,1,0,1,1,1,1,1,0,1,4.89289289289289,-0.454255272122279,1.6094379124341
1,0,1,1,1,1,1,0,1,1,1,1,3.34134134134134,-1.24631364485151,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,3,-0.8043728156276,0
1,1,0,1,1,1,1,1,0,1,1,1,4.04104104104104,0.260283098455108,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,3,-0.371826748849713,0
1,1,1,1,1,0,1,1,1,1,1,0,4.26126126126126,0.268706170994102,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,3.58358358358358,-1.07613943300378,1.6094379124341
0,0,0,0,0,1,0,0,0,0,0,1,3.37437437437437,0.858226930747794,0
1,1,1,1,0,1,1,1,1,1,0,1,2,1.57897870523285,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,2,3.14784005145347,0
0,1,1,1,1,1,0,1,1,1,1,1,2,1.01856958124586,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,1,2.46890630841573,0
0,0,0,1,0,0,0,0,0,1,0,0,4,0.501693140385162,0
0,0,0,0,1,0,0,0,0,0,1,0,4.53853853853854,-0.586890205724574,0
0,0,1,0,0,0,0,0,1,0,0,0,3.73973973973974,0.567377793111361,0
1,1,1,1,1,0,1,1,1,1,1,0,3.31931931931932,0.400477566557245,1.6094379124341
0,0,0,1,0,0,0,0,0,1,0,0,6,-1.89354216349691,0
0,1,0,0,0,0,0,1,0,0,0,0,5,1.72130780810423,0
1,1,1,1,0,1,1,1,1,1,0,1,5.02502502502503,0.302949544611992,1.6094379124341
1,1,1,0,1,1,1,1,1,0,1,1,6.48348348348348,-0.0579872575575179,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,5,1.56498615005252,0
1,0,0,0,0,0,1,0,0,0,0,0,4,0.437213806385581,0
1,0,0,0,0,0,1,0,0,0,0,0,2,0.942958978971338,0
1,1,1,1,1,0,1,1,1,1,1,0,6,1.25708262944916,1.6094379124341
1,1,1,1,0,1,1,1,1,1,0,1,4.33433433433433,0.903711949610214,1.6094379124341
1,0,1,1,1,1,1,0,1,1,1,1,5,0.15415067998202,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,2,1.0908301482478,1.6094379124341
1,1,1,1,1,0,1,1,1,1,1,0,6,0.317095957652915,1.6094379124341
1,1,0,1,1,1,1,1,0,1,1,1,3.5025025025025,-0.379489621704904,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,6,0.796331416845645,0
0,0,0,1,0,0,0,0,0,1,0,0,6,-0.189756535292381,0
1,1,1,0,1,1,1,1,1,0,1,1,3,1.97716269276181,1.6094379124341
0,1,0,0,0,0,0,1,0,0,0,0,6,1.68948062044328,0
0,0,0,0,0,1,0,0,0,0,0,1,2,4.30791866616862,0
1,0,1,1,1,1,1,0,1,1,1,1,3.12312312312312,-1.13401421589049,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,6,1.405342555899,0
