"ANAB.outcome","PSRE.outcome","RACA.outcome","TAGR.outcome","TATO.outcome","alaria.desirability","cephalo.desirability","ribei.desirability"
4,0,0,0,0,0,1,16
4,0,0,0,0,0,15,56
4,0,0,0,0,19,18,32
4,0,0,0,0,5,17,30
4,0,0,0,0,2,32,14
4,0,0,0,0,5,31,22
0,0,0,4,0,0,5,38
0,0,0,4,0,0,0,42
0,0,0,4,0,0,2,67
0,0,0,4,0,1,3,76
0,0,0,4,0,0,1,50
0,0,0,4,0,0,1,54
0,0,0,4,0,0,3,41
0,2,0,2,0,6,8,57
0,2,0,2,0,27,19,28
0,2,0,2,0,8,31,51
0,2,0,2,0,4,4,42
0,2,0,2,0,27,22,49
1,1,1,1,0,2,3,34
1,1,1,1,0,2,4,11
1,1,1,1,0,1,3,17
1,1,1,1,0,2,1,46
1,1,1,1,0,0,1,15
2,2,0,0,0,9,17,27
2,2,0,0,0,18,24,48
2,2,0,0,0,7,24,23
2,2,0,0,0,43,38,14
2,2,0,0,0,21,22,11
2,2,0,0,0,0,35,20
2,2,0,0,0,4,33,15
2,2,0,0,0,9,22,16
0,4,0,0,0,7,15,38
0,4,0,0,0,27,44,34
0,4,0,0,0,38,99,15
0,4,0,0,0,20,42,29
0,4,0,0,0,19,54,41
0,2,2,0,0,6,7,8
0,2,2,0,0,3,2,5
0,2,2,0,0,0,0,1
0,2,2,0,0,0,2,2
0,2,2,0,0,0,0,4
0,2,0,0,2,14,24,65
0,2,0,0,2,37,50,51
0,2,0,0,2,32,32,61
0,2,0,0,2,1,14,45
0,2,0,0,2,12,20,71
1,1,0,1,1,6,24,60
1,1,0,1,1,0,19,40
1,1,0,1,1,0,6,28
1,1,0,1,1,0,1,16
1,1,0,1,1,0,11,75
1,1,0,1,1,1,1,25
1,1,1,0,1,1,6,32
1,1,1,0,1,2,5,24
1,1,1,0,1,3,3,27
1,1,1,0,1,2,3,24
1,1,1,0,1,6,6,18
0,1,1,1,1,0,2,14
0,1,1,1,1,0,4,12
0,1,1,1,1,3,2,29
0,1,1,1,1,0,6,52
2,0,2,0,0,0,2,7
2,0,2,0,0,1,3,4
2,0,2,0,0,0,0,2
2,0,2,0,0,0,0,2
2,0,2,0,0,0,0,1
0,0,4,0,0,0,0,0
0,0,4,0,0,1,0,0
0,0,4,0,0,1,0,4
0,0,4,0,0,2,0,0
0,0,4,0,0,0,0,3
0,0,4,0,0,0,0,0
0,0,0,0,4,0,0,39
0,0,0,0,4,0,1,74
0,0,0,0,4,0,0,72
0,0,0,0,4,1,0,61
0,0,0,0,4,0,0,51
0,0,0,0,4,0,1,74
0,0,0,0,4,0,0,73
