Treatment,HostRichness,HostCount,Parasite,Count,TotalAdded,B,P,R,G,T,CommFreq
BBBB,1,4,Alaria,0,100,1,0,0,0,0,0.032608696
BBBB,1,4,Alaria,0,100,1,0,0,0,0,0.032608696
BBBB,1,4,Alaria,19,100,1,0,0,0,0,0.032608696
BBBB,1,4,Alaria,5,100,1,0,0,0,0,0.032608696
BBBB,1,4,Alaria,2,100,1,0,0,0,0,0.032608696
BBBB,1,4,Alaria,5,100,1,0,0,0,0,0.032608696
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,1,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Alaria,0,100,0,0,0,1,0,0.010869565
PPPP,1,4,Alaria,7,100,0,1,0,0,0,0.706521739
PPPP,1,4,Alaria,27,100,0,1,0,0,0,0.706521739
PPPP,1,4,Alaria,38,100,0,1,0,0,0,0.706521739
PPPP,1,4,Alaria,20,100,0,1,0,0,0,0.706521739
PPPP,1,4,Alaria,19,100,0,1,0,0,0,0.706521739
RRRR,1,4,Alaria,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Alaria,1,100,0,0,1,0,0,0.119565217
RRRR,1,4,Alaria,1,100,0,0,1,0,0,0.119565217
RRRR,1,4,Alaria,2,100,0,0,1,0,0,0.119565217
RRRR,1,4,Alaria,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Alaria,0,100,0,0,1,0,0,0.119565217
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,1,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Alaria,0,100,0,0,0,0,1,0.130434783
GGPP,2,4,Alaria,6,100,0,1,0,1,0,0.023148148
GGPP,2,4,Alaria,27,100,0,1,0,1,0,0.023148148
GGPP,2,4,Alaria,8,100,0,1,0,1,0,0.023148148
GGPP,2,4,Alaria,4,100,0,1,0,1,0,0.023148148
GGPP,2,4,Alaria,27,100,0,1,0,1,0,0.023148148
PPBB,2,4,Alaria,9,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,18,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,7,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,43,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,21,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,0,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,4,100,1,1,0,0,0,0.217592593
PPBB,2,4,Alaria,9,100,1,1,0,0,0,0.217592593
PPRR,2,4,Alaria,6,100,0,1,1,0,0,0.027777778
PPRR,2,4,Alaria,3,100,0,1,1,0,0,0.027777778
PPRR,2,4,Alaria,0,100,0,1,1,0,0,0.027777778
PPRR,2,4,Alaria,0,100,0,1,1,0,0,0.027777778
PPRR,2,4,Alaria,0,100,0,1,1,0,0,0.027777778
PPTT,2,4,Alaria,14,100,0,1,0,0,1,0.666666667
PPTT,2,4,Alaria,37,100,0,1,0,0,1,0.666666667
PPTT,2,4,Alaria,32,100,0,1,0,0,1,0.666666667
PPTT,2,4,Alaria,1,100,0,1,0,0,1,0.666666667
PPTT,2,4,Alaria,12,100,0,1,0,0,1,0.666666667
RRBB,2,4,Alaria,0,100,1,0,1,0,0,0
RRBB,2,4,Alaria,1,100,1,0,1,0,0,0
RRBB,2,4,Alaria,0,100,1,0,1,0,0,0
RRBB,2,4,Alaria,0,100,1,0,1,0,0,0
RRBB,2,4,Alaria,0,100,1,0,1,0,0,0
PGBR,4,4,Alaria,2,100,1,1,1,1,0,0
PGBR,4,4,Alaria,2,100,1,1,1,1,0,0
PGBR,4,4,Alaria,1,100,1,1,1,1,0,0
PGBR,4,4,Alaria,2,100,1,1,1,1,0,0
PGBR,4,4,Alaria,0,100,1,1,1,1,0,0
PTBG,4,4,Alaria,6,100,1,1,0,1,1,0.347222222
PTBG,4,4,Alaria,0,100,1,1,0,1,1,0.347222222
PTBG,4,4,Alaria,0,100,1,1,0,1,1,0.347222222
PTBG,4,4,Alaria,0,100,1,1,0,1,1,0.347222222
PTBG,4,4,Alaria,0,100,1,1,0,1,1,0.347222222
PTBG,4,4,Alaria,1,100,1,1,0,1,1,0.347222222
PTBR,4,4,Alaria,1,100,1,1,1,0,1,0.652777778
PTBR,4,4,Alaria,2,100,1,1,1,0,1,0.652777778
PTBR,4,4,Alaria,3,100,1,1,1,0,1,0.652777778
PTBR,4,4,Alaria,2,100,1,1,1,0,1,0.652777778
PTBR,4,4,Alaria,6,100,1,1,1,0,1,0.652777778
PTGR,4,4,Alaria,0,100,0,1,1,1,1,0
PTGR,4,4,Alaria,0,100,0,1,1,1,1,0
PTGR,4,4,Alaria,3,100,0,1,1,1,1,0
PTGR,4,4,Alaria,0,100,0,1,1,1,1,0
BBBB,1,4,Cephalogonimus,1,100,1,0,0,0,0,0.032608696
BBBB,1,4,Cephalogonimus,15,100,1,0,0,0,0,0.032608696
BBBB,1,4,Cephalogonimus,18,100,1,0,0,0,0,0.032608696
BBBB,1,4,Cephalogonimus,17,100,1,0,0,0,0,0.032608696
BBBB,1,4,Cephalogonimus,32,100,1,0,0,0,0,0.032608696
BBBB,1,4,Cephalogonimus,31,100,1,0,0,0,0,0.032608696
GGGG,1,4,Cephalogonimus,5,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,0,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,2,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,3,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,1,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,1,100,0,0,0,1,0,0.010869565
GGGG,1,4,Cephalogonimus,3,100,0,0,0,1,0,0.010869565
PPPP,1,4,Cephalogonimus,15,100,0,1,0,0,0,0.706521739
PPPP,1,4,Cephalogonimus,44,100,0,1,0,0,0,0.706521739
PPPP,1,4,Cephalogonimus,99,100,0,1,0,0,0,0.706521739
PPPP,1,4,Cephalogonimus,42,100,0,1,0,0,0,0.706521739
PPPP,1,4,Cephalogonimus,54,100,0,1,0,0,0,0.706521739
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
RRRR,1,4,Cephalogonimus,0,100,0,0,1,0,0,0.119565217
TTTT,1,4,Cephalogonimus,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,1,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,0,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,1,100,0,0,0,0,1,0.130434783
TTTT,1,4,Cephalogonimus,0,100,0,0,0,0,1,0.130434783
GGPP,2,4,Cephalogonimus,8,100,0,1,0,1,0,0.023148148
GGPP,2,4,Cephalogonimus,19,100,0,1,0,1,0,0.023148148
GGPP,2,4,Cephalogonimus,31,100,0,1,0,1,0,0.023148148
GGPP,2,4,Cephalogonimus,4,100,0,1,0,1,0,0.023148148
GGPP,2,4,Cephalogonimus,22,100,0,1,0,1,0,0.023148148
PPBB,2,4,Cephalogonimus,17,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,24,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,24,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,38,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,22,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,35,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,33,100,1,1,0,0,0,0.217592593
PPBB,2,4,Cephalogonimus,22,100,1,1,0,0,0,0.217592593
PPRR,2,4,Cephalogonimus,7,100,0,1,1,0,0,0.027777778
PPRR,2,4,Cephalogonimus,2,100,0,1,1,0,0,0.027777778
PPRR,2,4,Cephalogonimus,0,100,0,1,1,0,0,0.027777778
PPRR,2,4,Cephalogonimus,2,100,0,1,1,0,0,0.027777778
PPRR,2,4,Cephalogonimus,0,100,0,1,1,0,0,0.027777778
PPTT,2,4,Cephalogonimus,24,100,0,1,0,0,1,0.666666667
PPTT,2,4,Cephalogonimus,50,100,0,1,0,0,1,0.666666667
PPTT,2,4,Cephalogonimus,32,100,0,1,0,0,1,0.666666667
