"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","diversity.desirability"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,479,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,548,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,307,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,299,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,16,0.239915014011091
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,94,0.645483351510889
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,279,103,0.582893977936906
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,242,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,418,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,280,0,74,0.512681360070219
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,168,0,22,0.358451006299273
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,297,0,151,0.639061757898344
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,94,216,0,0.613572795565773
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135,163,0,0.688726446838659
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,200,167,0,0.689099068808779
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,182,99,46,0.963771833130282
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,169,149,79,1.05263335183891
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,140,157,9,0.803861076458874
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,194,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,323,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,163,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,266,0.144098227368542
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,45,0,0,417,0.319338123701296
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,62,0,0,243,0.504914194297415
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,195,0,0.0320181596390344
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,141,0,0.101264817566792
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32,0,193,0,0.408977045101157
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,200,25,0.348832095843032
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,166,45,0.545785402469887
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,103,141,0.722654606289704
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,381,0,0,0.0799825257464707
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,293,0,0,0.0566215782835027
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,389,0,0,0.017858624591447
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6,309,0,128,0.668258516865717
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,259,0,48,0.454008495623707
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,404,0,45,0.415850747581445
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,128,150,0,0.690012596078589
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,106,119,0,0.691477114843749
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,118,131,0,0.691783679491618
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,114,45,1.03460231686357
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,126,190,53,0.987404867876188
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,156,8,0.776944782188231
0,0,0,0,1,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,226,0,0,0,103,0.621534967716165
0,0,0,0,1,0,0,0,1,0,0,0,0,0,247,0,0,0,97,0.59481059905381
0,0,0,0,1,0,0,0,1,0,0,0,0,0,190,0,0,0,29,0.390961443149377
0,0,0,0,1,0,0,1,0,0,0,0,0,0,197,0,0,58,0,0.536177940558128
0,0,0,0,1,0,0,1,0,0,0,0,0,0,209,0,0,51,0,0.495024069747889
0,0,0,0,1,0,0,1,0,0,0,0,0,0,180,0,0,92,0,0.639858013910889
0,0,0,0,1,0,0,1,1,0,0,0,0,0,150,0,0,56,57,0.981017488215118
0,0,0,0,1,0,0,1,1,0,0,0,0,0,182,0,0,61,14,0.74425380716307
0,0,0,0,1,0,0,1,1,0,0,0,0,0,142,0,0,84,4,0.736073957937557
0,0,0,0,1,0,1,0,0,0,0,0,0,0,209,0,50,0,0,0.490615672000492
0,0,0,0,1,0,1,0,0,0,0,0,0,0,240,0,58,0,0,0.49286853276792
0,0,0,0,1,0,1,0,0,0,0,0,0,0,296,0,123,0,0,0.605305110397724
0,0,0,0,1,0,1,0,1,0,0,0,0,0,184,0,75,0,34,0.890902828292746
0,0,0,0,1,0,1,0,1,0,0,0,0,0,143,0,32,0,4,0.572103635666244
0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,39,0,20,0.654293775652474
0,0,0,0,1,0,1,1,0,0,0,0,0,0,276,0,18,46,0,0.595490221085023
0,0,0,0,1,0,1,1,0,0,0,0,0,0,147,0,11,70,0,0.791779378074127
0,0,0,0,1,0,1,1,0,0,0,0,0,0,174,0,5,92,0,0.72489608761767
0,0,0,0,1,0,1,1,1,0,0,0,0,0,171,0,4,49,0,0.610445872328901
0,0,0,0,1,0,1,1,1,0,0,0,0,0,220,0,6,21,6,0.505586543982666
0,0,0,0,1,0,1,1,1,0,0,0,0,0,153,0,0,78,2,0.683370707574496
0,0,0,0,1,1,0,0,0,0,0,0,0,0,305,3,0,0,0,0.0548045598201171
0,0,0,0,1,1,0,0,0,0,0,0,0,0,303,4,0,0,0,0.0694985048711763
0,0,0,0,1,1,0,0,0,0,0,0,0,0,255,12,0,0,0,0.183349468089932
0,0,0,0,1,1,0,0,1,0,0,0,0,0,321,9,0,0,48,0.489853798147789
0,0,0,0,1,1,0,0,1,0,0,0,0,0,270,0,0,0,26,0.297506620141223
0,0,0,0,1,1,0,0,1,0,0,0,0,0,194,0,0,0,12,0.222131689878214
0,0,0,0,1,1,0,1,0,0,0,0,0,0,230,17,0,50,0,0.661664737547824
0,0,0,0,1,1,0,1,0,0,0,0,0,0,235,0,0,77,0,0.558786478493421
0,0,0,0,1,1,0,1,0,0,0,0,0,0,330,0,0,123,0,0.584767949582855
0,0,0,0,1,1,0,1,1,0,0,0,0,0,144,1,0,47,6,0.705637691125418
0,0,0,0,1,1,0,1,1,0,0,0,0,0,163,4,0,39,14,0.77702678730849
0,0,0,0,1,1,0,1,1,0,0,0,0,0,106,0,0,61,4,0.751996731152188
0,0,0,0,1,1,1,0,0,0,0,0,0,0,274,0,70,0,0,0.505200471054252
0,0,0,0,1,1,1,0,0,0,0,0,0,0,251,2,77,0,0,0.578644170927401
0,0,0,0,1,1,1,0,0,0,0,0,0,0,113,4,84,0,0,0.766346639094835
0,0,0,0,1,1,1,0,1,0,0,0,0,0,281,0,44,0,14,0.55216881360523
0,0,0,0,1,1,1,0,1,0,0,0,0,0,207,0,7,0,21,0.432227503754753
0,0,0,0,1,1,1,0,1,0,0,0,0,0,193,0,24,0,20,0.6077768337171
0,0,0,0,1,1,1,1,0,0,0,0,0,0,210,0,25,123,0,0.865831442313603
0,0,0,0,1,1,1,1,0,0,0,0,0,0,183,4,1,36,0,0.555003975074328
0,0,0,0,1,1,1,1,0,0,0,0,0,0,174,6,77,67,0,1.07514597918546
0,0,0,0,1,1,1,1,1,0,0,0,0,0,108,0,11,37,3,0.861691496786028
0,0,0,0,1,1,1,1,1,0,0,0,0,0,123,0,4,77,32,1.04510121380692
0,0,0,0,1,1,1,1,1,0,0,0,0,0,272,0,0,40,23,0.606817973128233
0,0,0,1,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,165,0,0,0,0,42,0.504394507461034
0,0,0,1,0,0,0,0,1,0,0,0,0,203,0,0,0,0,1,0.0309591421506731
0,0,0,1,0,0,0,0,1,0,0,0,0,220,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,223,0,0,0,64,0,0.530674472307964
0,0,0,1,0,0,0,1,0,0,0,0,0,158,0,0,0,46,0,0.533769408271868
0,0,0,1,0,0,0,1,0,0,0,0,0,231,0,0,0,29,0,0.349719822553443
0,0,0,1,0,0,0,1,1,0,0,0,0,298,0,0,0,25,0,0.272371349227872
0,0,0,1,0,0,0,1,1,0,0,0,0,211,0,0,0,17,35,0.62217732052554
0,0,0,1,0,0,0,1,1,0,0,0,0,177,0,0,0,8,0,0.178117798056668
0,0,0,1,0,0,1,0,0,0,0,0,0,199,0,0,109,0,0,0.649825174911397
0,0,0,1,0,0,1,0,0,0,0,0,0,142,0,0,49,0,0,0.569411455340872
0,0,0,1,0,0,1,0,0,0,0,0,0,242,0,0,5,0,0,0.0989829953644605
0,0,0,1,0,0,1,0,1,0,0,0,0,207,0,0,22,0,4,0.397729862903495
0,0,0,1,0,0,1,0,1,0,0,0,0,300,0,0,65,0,1,0.486048866351976
0,0,0,1,0,0,1,0,1,0,0,0,0,254,0,0,1,0,0,0.0256443144811387
0,0,0,1,0,0,1,1,0,0,0,0,0,192,0,0,19,26,0,0.615343001801566
0,0,0,1,0,0,1,1,0,0,0,0,0,231,0,0,1,40,0,0.441266517416984
0,0,0,1,0,0,1,1,0,0,0,0,0,212,0,0,1,17,0,0.291292712925707
0,0,0,1,0,0,1,1,1,0,0,0,0,168,0,0,20,29,6,0.792181951299565
0,0,0,1,0,0,1,1,1,0,0,0,0,201,0,0,65,16,20,0.936998129659615
0,0,0,1,0,0,1,1,1,0,0,0,0,237,0,0,2,15,2,0.313444650777222
0,0,0,1,0,1,0,0,0,0,0,0,0,202,0,3,0,0,0,0.0763469950357365
0,0,0,1,0,1,0,0,0,0,0,0,0,324,0,11,0,0,0,0.144465615056419
0,0,0,1,0,1,0,0,0,0,0,0,0,194,0,18,0,0,0,0.290590168537972
0,0,0,1,0,1,0,0,1,0,0,0,0,167,0,0,0,0,63,0.587112115722045
0,0,0,1,0,1,0,0,1,0,0,0,0,249,0,0,0,0,11,0.175210018629011
0,0,0,1,0,1,0,0,1,0,0,0,0,246,0,0,0,0,2,0.0469051485823969
0,0,0,1,0,1,0,1,0,0,0,0,0,231,0,0,0,8,0,0.146614081370954
0,0,0,1,0,1,0,1,0,0,0,0,0,195,0,0,0,20,0,0.309477286774126
0,0,0,1,0,1,0,1,0,0,0,0,0,238,0,0,0,43,0,0.427920415566364
0,0,0,1,0,1,0,1,1,0,0,0,0,203,0,2,0,8,3,0.283155827563583
0,0,0,1,0,1,0,1,1,0,0,0,0,161,0,0,0,6,3,0.240783752086314
0,0,0,1,0,1,0,1,1,0,0,0,0,227,0,0,0,8,12,0.335630983999746
0,0,0,1,0,1,1,0,0,0,0,0,0,224,0,1,62,0,0,0.544182398727131
0,0,0,1,0,1,1,0,0,0,0,0,0,159,0,0,10,0,0,0.224682033958829
0,0,0,1,0,1,1,0,0,0,0,0,0,261,0,0,5,0,0,0.0933195573779642
0,0,0,1,0,1,1,0,1,0,0,0,0,164,0,0,21,0,5,0.466180625226113
0,0,0,1,0,1,1,0,1,0,0,0,0,152,0,0,9,0,4,0.324430093239129
0,0,0,1,0,1,1,0,1,0,0,0,0,155,0,1,6,0,0,0.195735533146881
0,0,0,1,0,1,1,1,0,0,0,0,0,139,0,0,1,35,0,0.534334209024682
0,0,0,1,0,1,1,1,0,0,0,0,0,226,0,0,4,52,0,0.549528487086162
0,0,0,1,0,1,1,1,0,0,0,0,0,136,0,0,8,18,0,0.539551344888725
0,0,0,1,0,1,1,1,1,0,0,0,0,207,0,0,15,16,0,0.477081754434916
0,0,0,1,0,1,1,1,1,0,0,0,0,157,0,0,84,9,3,0.833428774875532
0,0,0,1,0,1,1,1,1,0,0,0,0,180,0,0,4,10,2,0.356229169966345
0,0,0,1,1,0,0,0,0,0,0,0,0,101,109,0,0,0,0,0.692421381365355
