"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","diversity.desirability"
0,0,0,0,0,0,"wet",0,0,0,0,0,0,NA
1,0,0,0,0,0,"wet",10103.9239038058,0,0,0,0,0,0
0,1,0,0,0,0,"wet",0,3742.9676508044,0,0,0,0,0
1,1,0,0,0,0,"wet",5.26962550613487e-45,3742.9676508044,0,0,0,0,1.55122339412894e-46
0,0,1,0,0,0,"wet",0,0,786.995011139359,0,0,0,0
1,0,1,0,0,0,"wet",10103.9239038058,0,0,0,0,0,0
0,1,1,0,0,0,"wet",0,3742.9676508044,0,0,0,0,0
1,1,1,0,0,0,"wet",4.99942883141631e-45,3742.9676508044,0,0,0,0,1.47238845413935e-46
0,0,0,1,0,0,"wet",0,0,0,2030.67844694714,0,0,0
1,0,0,1,0,0,"wet",10103.9239038058,0,0,3.45041040361938e-256,0,0,2.04022408368987e-257
0,1,0,1,0,0,"wet",0,3742.9676508044,0,0,0,0,0
1,1,0,1,0,0,"wet",5.9383753430947e-45,3742.9676508044,0,0,0,0,1.74618821604273e-46
0,0,1,1,0,0,"wet",0,0,0,2030.67844694714,0,0,0
1,0,1,1,0,0,"wet",10103.9239038058,0,0,3.90234394424151e-256,0,0,2.3069765397159e-257
0,1,1,1,0,0,"wet",0,3742.9676508044,0,0,0,0,0
1,1,1,1,0,0,"wet",5.64336897751066e-45,3742.9676508044,0,0,0,0,1.66020940186304e-46
0,0,0,0,1,0,"wet",0,0,0,0,8614.48470697596,0,0
1,0,0,0,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,0.573406340878533
0,1,0,0,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,0.669970939044619
1,1,0,0,1,0,"wet",2.5928520835416e-54,2701.35187468275,0,0,4176.34574853526,0,0.669970939044619
0,0,1,0,1,0,"wet",0,0,0,0,8614.48470697596,0,0
1,0,1,0,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,0.573406340878533
0,1,1,0,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,0.669970939044619
1,1,1,0,1,0,"wet",2.45880640383198e-54,2701.35187468275,0,0,4176.34574853526,0,0.669970939044619
0,0,0,1,1,0,"wet",0,0,0,2.41814985738175e-264,8614.48470697596,0,1.72932804806044e-265
1,0,0,1,1,0,"wet",2953.3891618733,0,0,1.92179856026312e-315,8391.21142810233,0,0.573406340878533
0,1,0,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,0.669970939044619
1,1,0,1,1,0,"wet",2.8721825114169e-54,2701.35187468275,0,0,4176.34574853526,0,0.669970939044619
0,0,1,1,1,0,"wet",0,0,0,2.2902205960422e-264,8614.48470697596,0,1.6379845676998e-265
1,0,1,1,1,0,"wet",2953.3891618733,0,0,2.00639913026765e-315,8391.21142810233,0,0.573406340878533
0,1,1,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,0.669970939044619
1,1,1,1,1,0,"wet",2.72760124436912e-54,2701.35187468275,0,0,4176.34574853526,0,0.669970939044619
0,0,0,0,0,1,"wet",0,0,0,0,0,8130.19921373607,0
