plot.num,blk,plot,plotid,enemy,resources,diversity,spp,species.id,provenance,func.2,month,year,percov
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,Jul-14,2014,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,Jun-13,2013,10
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,May-14,2014,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,Sep-12,2012,45
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,Sep-13,2013,30
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Andropogon virginicus,Native,C4,Sep-14,2014,10
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Jul-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Jun-13,2013,30
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,May-14,2014,12
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Sep-12,2012,7
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Sep-13,2013,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Sep-14,2014,20
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Anthoxanthum odoratum,Exotic,C3,Sep-15,2015,9
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,Jul-14,2014,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,Jun-13,2013,10
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,May-14,2014,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,Sep-12,2012,3
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,Sep-13,2013,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Apocynum cannabinum,Native,Forb,Sep-14,2014,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Baccharis halimifolia,Native,Forb,Sep-15,2015,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Chamaecrista nictitans,Native,Legume,Sep-12,2012,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Dichanthelium dichotomum,Native,C4,Sep-12,2012,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Dichanthelium dichotomum,Native,C4,Sep-13,2013,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Dichanthelium dichotomum,Native,C4,Sep-14,2014,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Dichanthelium dichotomum,Native,C4,Sep-15,2015,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Dichanthelium sp,Native,C4,Sep-12,2012,4
