"plot.num","diversity","TRFL.action","SCIN.action","ANVI.action","PAAN.action","SEPA.action","SOPI.action","NEWSPS.action"
"1_1","Polyculture",0,1,1,1,1,1,0
"1_10","Polyculture",1,0,1,1,1,1,0
"1_11","Monoculture",0,0,1,0,0,0,0
"1_12","Monoculture",0,0,0,1,0,0,0
"1_13","Monoculture",0,1,0,0,0,0,0
"1_14","Polyculture",1,1,1,1,0,1,0
"1_15","Polyculture",1,1,1,0,1,1,0
"1_16","Monoculture",0,1,0,0,0,0,0
"1_17","Monoculture",1,0,0,0,0,0,0
"1_18","Monoculture",0,0,0,0,1,0,0
"1_19","Polyculture",1,1,1,1,0,1,0
"1_20","Monoculture",0,0,0,0,0,1,0
"1_21","Polyculture",1,1,1,1,1,0,0
"1_23","Monoculture",0,0,0,1,0,0,0
"1_24","Monoculture",0,0,0,0,0,1,0
"1_25","Monoculture",0,0,1,0,0,0,0
"1_26","Polyculture",0,1,1,1,1,1,0
"1_27","Monoculture",0,0,0,0,0,1,0
"1_28","Monoculture",0,0,1,0,0,0,0
"1_29","K",0,0,0,0,0,0,0
"1_3","Monoculture",0,0,0,1,0,0,0
"1_30","Polyculture",1,0,1,1,1,1,0
"1_31","Monoculture",0,0,0,0,1,0,0
"1_33","Polyculture",1,1,0,1,1,1,0
"1_34","Polyculture",1,1,0,1,1,1,0
"1_35","Polyculture",1,1,1,0,1,1,0
"1_36","Polyculture",1,1,1,1,1,0,0
"1_37","Polyculture",1,1,1,1,0,1,0
"1_39","Monoculture",0,0,0,0,1,0,0
"1_41","Monoculture",0,1,0,0,0,0,0
"1_44","Polyculture",0,1,1,1,1,1,0
"1_46","Monoculture",0,0,0,1,0,0,0
"1_47","Monoculture",0,0,0,0,1,0,0
"1_48","Polyculture",1,0,1,1,1,1,0
"1_49","Polyculture",1,1,1,0,1,1,0
"1_5","K",0,0,0,0,0,0,0
"1_50","Monoculture",1,0,0,0,0,0,0
"1_52","Polyculture",1,0,1,1,1,1,0
"1_53","Polyculture",1,1,1,1,0,1,0
"1_54","Monoculture",0,1,0,0,0,0,0
"1_55","Polyculture",1,1,0,1,1,1,0
"1_57","Monoculture",0,0,1,0,0,0,0
"1_58","Polyculture",1,1,1,1,1,0,0
"1_59","Monoculture",1,0,0,0,0,0,0
"1_6","K",0,0,0,0,0,0,0
"1_60","Polyculture",1,1,1,1,1,0,0
"1_61","Monoculture",0,0,0,0,0,1,0
"1_62","K",0,0,0,0,0,0,0
"1_63","Polyculture",1,1,1,0,1,1,0
"1_64","Monoculture",1,0,0,0,0,0,0
"1_7","Polyculture",1,1,0,1,1,1,0
"1_8","Polyculture",0,1,1,1,1,1,0
