"plotid","plot.num","blk","enemy","resources","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome"
"1ANVIMOE","1_25",1,"Sprayed","Ambient",5,3,2,8,5,12,83
"1ANVIMOO","1_28",1,"Unsprayed","Ambient",12,0,0,4,0,10,93.1
"1ANVIMRE","1_11",1,"Sprayed","Fertilized",5,0,0,0,0,4,101.5
"1ANVIMRO","1_57",1,"Unsprayed","Fertilized",0,0,0,0,0,0,117
"1ANVIPOE","1_7",1,"Sprayed","Ambient",0,8,18,2,30,8,72
"1ANVIPOO","1_34",1,"Unsprayed","Ambient",2,1,20,0,5,7,64
"1ANVIPRE","1_33",1,"Sprayed","Fertilized",0,1,35,8,45,7,62
"1ANVIPRO","1_55",1,"Unsprayed","Fertilized",0,0,6,0,0,0,124
"1BLANKOE","1_29",1,"Sprayed","Ambient",8,0,0,0,0,0,94
"1BLANKOO","1_62",1,"Unsprayed","Ambient",2,0,0,0,0,0,166
"1BLANKRE","1_6",1,"Sprayed","Fertilized",0,0,0,3,0,0,127.5
"1BLANKRO","1_5",1,"Unsprayed","Fertilized",4,0,0,10,0,0,115.5
"1PAANMOE","1_23",1,"Sprayed","Ambient",11,17,0,8,0,3,121
"1PAANMOO","1_12",1,"Unsprayed","Ambient",35,1,6,4,2,6,60.5
"1PAANMRE","1_3",1,"Sprayed","Fertilized",0,2,0,7,0,0,166
"1PAANMRO","1_46",1,"Unsprayed","Fertilized",0,0,0,0,0,0,134
"1PAANPOE","1_15",1,"Sprayed","Ambient",6,3,30,0,20,0,84
"1PAANPOO","1_63",1,"Unsprayed","Ambient",4,0,25,0,0,0,151
"1PAANPRE","1_35",1,"Sprayed","Fertilized",0,0,21,0,6,0,136
"1PAANPRO","1_49",1,"Unsprayed","Fertilized",0,0,0,0,0,0,157
"1SCINMOE","1_54",1,"Sprayed","Ambient",0,0,50,0,0,0,173
"1SCINMOO","1_16",1,"Unsprayed","Ambient",8,0,50,0,0,0,94
"1SCINMRE","1_13",1,"Sprayed","Fertilized",4,0,45,0,0,0,92
"1SCINMRO","1_41",1,"Unsprayed","Fertilized",0,0,10,0,0,0,100
"1SCINPOE","1_10",1,"Sprayed","Ambient",35,1,0,0,35,4,54.5
"1SCINPOO","1_30",1,"Unsprayed","Ambient",12,0,0,0,0,3,92
"1SCINPRE","1_48",1,"Sprayed","Fertilized",0,1,0,0,0,0,131
"1SCINPRO","1_52",1,"Unsprayed","Fertilized",0,0,0,0,0,4,134.5
"1SEPAMOE","1_18",1,"Sprayed","Ambient",15,0,0,1,0,4,97
"1SEPAMOO","1_31",1,"Unsprayed","Ambient",15,3,0,0,10,0,78
"1SEPAMRE","1_47",1,"Sprayed","Fertilized",0,0,0,2,0,4,123
"1SEPAMRO","1_39",1,"Unsprayed","Fertilized",6,0,0,0,0,0,128
"1SEPAPOE","1_19",1,"Sprayed","Ambient",0,1,10,0,45,4,108
"1SEPAPOO","1_37",1,"Unsprayed","Ambient",0,1,6,0,2,3,127
"1SEPAPRE","1_53",1,"Sprayed","Fertilized",0,1,55,3,5,0,118.5
"1SEPAPRO","1_14",1,"Unsprayed","Fertilized",0,0,25,0,5,3,67
"1SOPIMOE","1_61",1,"Sprayed","Ambient",3,0,0,0,35,0,104
"1SOPIMOO","1_24",1,"Unsprayed","Ambient",15,0,0,4,6,8,79
"1SOPIMRE","1_27",1,"Sprayed","Fertilized",0,1,0,4,50,0,104
"1SOPIMRO","1_20",1,"Unsprayed","Fertilized",0,0,8,23,2,0,91.5
"1SOPIPOE","1_21",1,"Sprayed","Ambient",10,6,40,0,0,10,111
"1SOPIPOO","1_60",1,"Unsprayed","Ambient",8,0,20,0,0,6,77
"1SOPIPRE","1_36",1,"Sprayed","Fertilized",0,3,15,0,0,0,120
"1SOPIPRO","1_58",1,"Unsprayed","Fertilized",0,0,4,0,0,4,121
"1TRFLMOE","1_17",1,"Sprayed","Ambient",15,7,0,3,0,35,85.5
"1TRFLMOO","1_64",1,"Unsprayed","Ambient",2,1,0,0,0,0,123
"1TRFLMRE","1_59",1,"Sprayed","Fertilized",0,6,0,2,0,1,94
"1TRFLMRO","1_50",1,"Unsprayed","Fertilized",0,0,0,0,0,8,206
"1TRFLPOE","1_8",1,"Sprayed","Ambient",20,12,35,0,20,0,89
"1TRFLPOO","1_44",1,"Unsprayed","Ambient",1,0,25,0,0,3,113
"1TRFLPRE","1_1",1,"Sprayed","Fertilized",0,4,40,23,0,3,59
"1TRFLPRO","1_26",1,"Unsprayed","Fertilized",5,0,25,15,0,0,114
"2ANVIMOE","2_9",2,"Sprayed","Ambient",15,3,0,0,0,4,105
"2ANVIMOO","2_34",2,"Unsprayed","Ambient",25,2,0,0,0.1,2,90
"2ANVIMRE","2_59",2,"Sprayed","Fertilized",0.5,1,0,0,2,4,113
"2ANVIMRO","2_51",2,"Unsprayed","Fertilized",0,0,0,0,0,0,124
"2ANVIPOE","2_44",2,"Sprayed","Ambient",0,5,18,0,23,15,102
"2ANVIPOO","2_39",2,"Unsprayed","Ambient",40,2,30,4,6,0,78.5
"2ANVIPRE","2_12",2,"Sprayed","Fertilized",8,1,22,25,3,2,82
"2ANVIPRO","2_56",2,"Unsprayed","Fertilized",0,0.5,15,0,0,0,136
"2BLANKOE","2_18",2,"Sprayed","Ambient",10,2,0,0,3,0,133
"2BLANKOO","2_19",2,"Unsprayed","Ambient",6,0,0,4,0,17,92
"2BLANKRE","2_30",2,"Sprayed","Fertilized",0,0,0,0,0,0,121
"2BLANKRO","2_60",2,"Unsprayed","Fertilized",0,0,0,8,1,0,116
"2PAANMOE","2_54",2,"Sprayed","Ambient",0,3,2,0,1,0,144
"2PAANMOO","2_58",2,"Unsprayed","Ambient",2,1,0,0,1,2,126
"2PAANMRE","2_22",2,"Sprayed","Fertilized",4,15,0,2,0,3,125.5
"2PAANMRO","2_20",2,"Unsprayed","Fertilized",50,0,0,0,0,4,160
"2PAANPOE","2_48",2,"Sprayed","Ambient",0,1,30,0,4,5,154
"2PAANPOO","2_5",2,"Unsprayed","Ambient",20,3,15,3,12,4,52
"2PAANPRE","2_36",2,"Sprayed","Fertilized",0,1,15,0,5,5,120
"2PAANPRO","2_4",2,"Unsprayed","Fertilized",10,0,15,0,0,0,92
"2SCINMOE","2_14",2,"Sprayed","Ambient",20,3,40,2,0,4,52
"2SCINMOO","2_61",2,"Unsprayed","Ambient",0,1,5,0,2,0,122
"2SCINMRE","2_46",2,"Sprayed","Fertilized",2,1,50,2,0,0,134
"2SCINMRO","2_32",2,"Unsprayed","Fertilized",0,0,18,0,0,0,119
"2SCINPOE","2_21",2,"Sprayed","Ambient",15,0,0,0,15,3,178
"2SCINPOO","2_26",2,"Unsprayed","Ambient",15,3,0,0,5,12,83
"2SCINPRE","2_25",2,"Sprayed","Fertilized",0,0,0,0,0,0,144
"2SCINPRO","2_49",2,"Unsprayed","Fertilized",0,0,0,0,0,30,103
"2SEPAMOE","2_55",2,"Sprayed","Ambient",17,12,0,6,0,0,109
"2SEPAMOO","2_3",2,"Unsprayed","Ambient",25,0,0,0,4,12,91
"2SEPAMRE","2_52",2,"Sprayed","Fertilized",0,0,0,2,0,0,161
"2SEPAMRO","2_10",2,"Unsprayed","Fertilized",10,0,3,0,0,0,106
"2SEPAPOE","2_23",2,"Sprayed","Ambient",18,15,20,0,10,2,84
"2SEPAPOO","2_29",2,"Unsprayed","Ambient",15,0,16,0,3,15,98.5
