"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0,0.269028295678878,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.650906117999729,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0.269028295678878,0.572276101072189,0,0,0,0,0,0,0,0,0,0,0.626699906050694
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.659424285871844,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0.269028295678878,0,0.578778106578229,0,0,0,0,0,0,0,0,0,0.624834960844144
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.76385085013144e-28,0.659424285871842,0,0,0,0,0,0,0,0,0,1.69821218940854e-26
1,1,1,0,0,0,0,0,0,0,0,0,0,0.269028295678878,6.87178316350435e-25,0.578778106578229,0,0,0,0,0,0,0,0,0,0.624834960844144
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.663448432530669,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0.269028295678878,0,0,0.593930103058899,0,0,0,0,0,0,0,0,0.620494653233071
0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.04836518289052e-59,0,0.663448432530667,0,0,0,0,0,0,0,0,1.41816927822645e-56
1,1,0,1,0,0,0,0,0,0,0,0,0,0.269028295678878,3.61072721629406e-56,0,0.593930103058899,0,0,0,0,0,0,0,0,0.620494653233071
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.272741820378685,0.429926415036968,0,0,0,0,0,0,0,0,0.667914103422614
1,0,1,1,0,0,0,0,0,0,0,0,0,0.269028295678878,0,0.193930045363796,0.427886863400528,0,0,0,0,0,0,0,0,1.04572217680648
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0064347281444e-62,0.272741820378685,0.429926415036968,0,0,0,0,0,0,0,0,0.667914103422614
1,1,1,1,0,0,0,0,0,0,0,0,0,0.269028295678878,6.27396971441435e-59,0.193930045363798,0.427886863400525,0,0,0,0,0,0,0,0,1.04572217680648
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693193876004246,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0.362233577550042,0,0,0,0.622141844876497,0,0,0,0,0,0,0,0.657873552283873
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.308367146866054,0,0,0.452464634476249,0,0,0,0,0,0,0,0.675103217033056
1,1,0,0,1,0,0,0,0,0,0,0,0,0.340810413884507,0.188560170317196,0,0,0.479143011565845,0,0,0,0,0,0,0,1.0337217763114
