"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action","environment.initial","Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome","diversity.desirability"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,1.79406317020861,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,2.95766993993707,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,0.657296306515076
0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.50423145050186,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1.07673245940548e+76,0,1.63495690952315e+76,0,0,0,0,0,0,0,0,0.671806056515167
0,1,1,0,0,0,0,0,0,0,0,0,0,1.20885440363564e-154,3.50423145050186,0,0,0,0,0,0,0,0,1.22692826496056e-152
1,1,1,0,0,0,0,0,0,0,0,0,9.13583385960795e+73,0,1.38722433437822e+74,0,0,0,0,0,0,0,0,0.671806056515164
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.649696240601505,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,2.05840496549528,0,0,0.24207634120881,0,0,0,0,0,0,0,0.336421715024481
0,1,0,1,0,0,0,0,0,0,0,0,0,3.06280969210226,0,0.0798386201737919,0,0,0,0,0,0,0,0.118386826534152
1,1,0,1,0,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,0,0,0,0,0,0,0,NA
0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0,0.0862107615057869
1,0,1,1,0,0,0,0,0,0,0,0,1.20692735568069e+74,0,1.832650443688e+74,0,0,0,0,0,0,0,0,0.671806056515163
0,1,1,1,0,0,0,0,0,0,0,0,0,1.94928565919812e-153,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0,0.0862107615057869
1,1,1,1,0,0,0,0,0,0,0,0,9.33284791793691e+100,0,1.4171397969543e+101,0,0,0,0,0,0,0,0,0.671806056515166
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.00056450930029,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1.11328578973297,0,0,0,0.775245822482141,0,0,0,0,0,0,0.677040701774425
0,1,0,0,1,0,0,0,0,0,0,0,0,2.83467550777228,0,0,0.251670587576603,0,0,0,0,0,0,0.282522357086453
1,1,0,0,1,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,1.97626258336499e-323,0,0,0,0,0,0,NA
0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0,0.197247571060585
1,0,1,0,1,0,0,0,0,0,0,0,2.60768157752208e+103,0,3.95961594337012e+103,0,0,0,0,0,0,0,0,0.671806056515164
0,1,1,0,1,0,0,0,0,0,0,0,0,1.88721034736098e-161,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0,0.197247571060585
1,1,1,0,1,0,0,0,0,0,0,0,3.99302244231789e+74,0,6.06317713831475e+74,0,0,0,0,0,0,0,0,0.671806056515165
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.596733784094663,0.812090348471046,0,0,0,0,0,0,0.68141775646594
1,0,0,1,1,0,0,0,0,0,0,0,1.60319618456643,0,0,0.294186773143698,0.583175696945677,0,0,0,0,0,0,0.875317595002589
0,1,0,1,1,0,0,0,0,0,0,0,0,2.97610741323815,0,0.0837181991099868,0.187863839342068,0,0,0,0,0,0,0.33918461311198
1,1,0,1,1,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,1.97626258336499e-323,0,0,0,0,0,0,NA
0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,0,0,0,0,0.253552650650728
1,0,1,1,1,0,0,0,0,0,0,0,9.8769630131894e+102,0,1.49976057491898e+103,0,0,0,0,0,0,0,0,0.671806056515165
0,1,1,1,1,0,0,0,0,0,0,0,0,7.7971669742695e-158,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,0,0,0,0,0.253552650650728
1,1,1,1,1,0,0,0,0,0,0,0,2.65785956681942e+95,0,4.03580836200767e+95,0,0,0,0,0,0,0,0,0.671806056515164
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11351914068045,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1.15875489248297,0,0,0,0,1.16802443102601,0,0,0,0,0,0.693139245010709
0,1,0,0,0,1,0,0,0,0,0,0,0,2.50579461972553,0,0,0,1.27377592950788,0,0,0,0,0,0.639036371914396
1,1,0,0,0,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,0.600053680751728
1,0,1,0,0,1,0,0,0,0,0,0,3.14292026576787e+103,0,4.84232131714166e+103,0,0,2.48823753226643e+102,0,0,0,0,0,0.785572859323326
0,1,1,0,0,1,0,0,0,0,0,0,0,9.43838768014913e-133,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,0.600053680751728
1,1,1,0,0,1,0,0,0,0,0,0,8.03853996554332e+74,0,1.23850400717486e+75,0,0,6.36408026787861e+73,0,0,0,0,0,0.785572859323328
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.723289691988043,0,1.49046283171866,0,0,0,0,0,0.631835490307639
1,0,0,1,0,1,0,0,0,0,0,0,1.49259291114386,0,0,0.423467333286121,0,1.4044181828642,0,0,0,0,0,0.986012649777134
0,1,0,1,0,1,0,0,0,0,0,0,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,0,0,0,0,0.80202379335492
1,1,0,1,0,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,7.32307096520576e-215,0,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,1,0,1,0,0,0,0,0,0,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,0.783438916612437
1,0,1,1,0,1,0,0,0,0,0,0,6.07581561859933e+103,0,9.3610556428726e+103,0,0,4.81019917240426e+102,0,0,0,0,0,0.785572859323329
0,1,1,1,0,1,0,0,0,0,0,0,0,2.3158556364019e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,0.783438916612437
1,1,1,1,0,1,0,0,0,0,0,0,4.51260892066545e+103,0,6.95261111472188e+103,0,0,3.5726146180477e+102,0,0,0,0,0,0.785572859323328
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.43148872821817,1.16837944073174,0,0,0,0,0,0.688017581286898
1,0,0,0,1,1,0,0,0,0,0,0,1.77039792585631e-10,0,0,0,1.43148872818437,1.16837944073907,0,0,0,0,0,0.688017582903772
0,1,0,0,1,1,0,0,0,0,0,0,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,0,0,0,0,0,1.04581835901435
1,1,0,0,1,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,7.84073700030987e-45,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,0.940071996900747
1,0,1,0,1,1,0,0,0,0,0,0,6.95072323920153e+73,0,1.07090325126382e+74,0,0,5.50286007206475e+72,0,0,0,0,0,0.785572859323323
0,1,1,0,1,1,0,0,0,0,0,0,0,1.17259166028657e-148,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,0.940071996900747
