"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
1,0,1,1,0,0,1,1,1,0,"May",0,0,16.39,0,0,0,165.1,0,0,4.98,0.418252064902893
1,0,1,1,0,0,1,1,1,0,"August",0,0,0,0,0,0,84,0,0,1.3,0.0788862405861904
0,1,0,0,0,1,0,0,1,0,"May",0,0,0,0,0,193.2,0,0,22.4,33.1,0.681388624581155
0,1,0,0,0,1,0,0,1,0,"August",0,0,0,0,0,30.7,0,0,8.84,6.15,0.85490769394736
0,0,0,0,0,1,1,1,0,0,"May",0,0,0,0,0,91.3,135.4,11.6,0,5,0.918891992013141
0,0,0,0,0,1,1,1,0,0,"August",0,0,0,0,0,14.07,22.71,0,0,0,0.665296226403617
1,1,0,0,0,0,0,0,0,0,"May",1.16,0,0,0,0,0,0,0,0,24.2,0.185779559834281
1,1,0,0,0,0,0,0,0,0,"August",0,0,0,0,0,0,0,0,0,11.21,0
1,1,1,0,0,0,0,0,0,0,"May",0,109.1,41,0,0,0,0,0,0,41,0.980483877523094
1,1,1,0,0,0,0,0,0,0,"August",0,27.4,0,0,0,0,0,0,0,12.3,0.618959512775003
0,0,0,0,1,0,0,1,0,0,"May",0,0,0,0,0,0,0,6.33,0,35.6,0.424380879031174
0,0,0,0,1,0,0,1,0,0,"August",0,0,0,0,121.7,0,0,1.52,0,4,0.204105676213159
0,1,1,1,0,1,1,0,1,0,"May",0,0,9.11,0,0,85,236.2,0,16.2,19.88,1.00983497099571
0,1,1,1,0,1,1,0,1,0,"August",0,0,0,0,0,25.22,60.5,0,0,0,0.605881585200995
1,0,1,1,1,1,0,1,0,0,"May",0,0,4.23,0,30.7,93,0,0,0,25.1,1.02062866316221
1,0,1,1,1,1,0,1,0,0,"August",0,0,0,0,34.5,29.55,0,0,0,16.55,1.05615421656855
0,0,1,1,0,0,0,0,0,0,"May",0,0,90.8,0,0,0,0,0,0,14.3,0.397747915218396
0,0,1,1,0,0,0,0,0,0,"August",0,0,0.21,0,0,0,0,0,0,28.09,0.0437793611220846
0,1,0,0,0,0,0,1,0,0,"May",0,35.9,0,0,0,0,0,0,0,4.25,0.337756323687357
0,1,0,0,0,0,0,1,0,0,"August",0,36.5,0,0,0,0,0,0,0,9.92,0.518819102036676
0,0,1,1,0,0,1,1,0,0,"May",0,0,0,0,0,0,232,0,0,2,0.0492127196837535
0,0,1,1,0,0,1,1,0,0,"August",0,0,0,0,0,0,59.2,0,0,24.5,0.604562195418042
0,0,1,1,0,1,0,0,0,0,"May",0,0,7.24,0,0,119.2,0,0,0,97,0.808574040500187
0,0,1,1,0,1,0,0,0,0,"August",0,0,0,0,0,65.5,0,0,0,8.87,0.365465035059829
1,1,0,1,0,0,0,0,1,0,"May",0,42.2,0,0,0,0,0,0,86,8.5,0.827118932497344
1,1,0,1,0,0,0,0,1,0,"August",0,45.8,0,0,0,0,0,0,19.8,22.09,1.02255886134987
1,0,0,0,0,1,0,0,0,0,"May",0,0,0,0,0,131.2,0,0,0,16.57,0.350953274128333
1,0,0,0,0,1,0,0,0,0,"August",0,0,0,0,0,67.3,0,0,0,3.42,0.193656944753798
1,0,0,0,0,1,0,0,1,0,"May",0,0,0,0,0,95.7,0,0,113,26.2,0.962496157143331
1,0,0,0,0,1,0,0,1,0,"August",0,0,0,0,0,31.84,0,0,4.31,5.35,0.702596059017918
0,1,0,1,0,0,0,0,0,0,"May",0,14.43,0,0,0,0,0,0,0,13.4,0.692462138508665
0,1,0,1,0,0,0,0,0,0,"August",0,13.47,0,0,0,0,0,0,0,43,0.549383892450263
0,0,0,0,1,1,0,0,0,0,"May",0,0,0,0,32.8,53.5,0,0,0,9.1,0.915580455271771
0,0,0,0,1,1,0,0,0,0,"August",0,0,0,0,37.82,21.32,0,0,0,7.24,0.926971020773375
1,1,1,1,1,1,1,1,1,0,"May",0,0,5.29,0,16.3,28.5,227.5,0,0,10,0.76747498185591
1,1,1,1,1,1,1,1,1,0,"August",0,0,0,0,29,13.47,53,0,0,0.4,0.987956102644256
0,1,0,0,0,1,0,1,1,0,"May",0,36,0,0,0,373.8,0,0.3,18,17.6,0.612919418924348
0,1,0,0,0,1,0,1,1,0,"August",0,0,0,0,0,41.3,0,0.099,1.01,6.72,0.510401117656858
0,1,1,0,0,1,1,0,0,0,"May",0,44.8,15.6,0,0,4.39,270.7,0,0,134,1.05634173103797
0,1,1,0,0,1,1,0,0,0,"August",0,9.16,0,0,0,12.14,156.2,0,0,5.64,0.572597978175614
0,1,0,0,0,0,1,0,0,0,"May",0,105.5,0,0,0,0,130.8,0,0,11.8,0.845982061482773
0,1,0,0,0,0,1,0,0,0,"August",0,0.92,0,0,0,0,46.4,0,0,1.52,0.231497570267585
0,1,0,1,0,0,1,0,0,0,"May",0,9.36,0,0,0,0,137.3,0,0,13.2,0.502762717113046
0,1,0,1,0,0,1,0,0,0,"August",0,9.02,0,0,0,0,75.2,0,0,7.16,0.5884683966408
1,1,0,1,0,1,1,1,0,0,"May",3.36,43.5,0,0,0,21.3,156.4,0,0,4.04,0.929889308663093
1,1,0,1,0,1,1,1,0,0,"August",0,7.93,0,0,0,10.48,81,0,0,0.43,0.630910804403597
0,0,0,0,0,1,0,0,1,0,"May",0,0,0,0,0,0.59,0,0,72.3,7.32,0.34819951290103
0,0,0,0,0,1,0,0,1,0,"August",0,0,0,0,0,0,0,0,49,25.13,0.640369323884999
1,0,0,1,1,1,1,0,1,0,"May",0.08,0,0,4.71,2.59,4.08,138.5,0,9.59,13.5,0.790443872343714
1,0,0,1,1,1,1,0,1,0,"August",0,0,0,0,155.5,5.76,36.1,0,0,3.13,0.672725979926755
1,0,0,0,0,0,0,0,1,0,"May",0,0,0,0,0,0,0,0,161,9.51,0.215177190247065
1,0,0,0,0,0,0,0,1,0,"August",0.07,0,0,0,0,0,0,0,46.2,3.37,0.258709643302286
0,1,0,0,1,0,1,1,0,0,"May",0,69,0,0,55,0,218.5,0,0,66.2,1.19985473329629
0,1,0,0,1,0,1,1,0,0,"August",0,0,0,0,38.24,0,9.89,0,0,5.8,0.794644061690027
0,1,0,0,0,0,0,0,1,0,"May",0,6.47,0,0,0,0,0,0,46.2,27.3,0.887312398862477
0,1,0,0,0,0,0,0,1,0,"August",0,0,0,0,0,0,0,0,39.68,6.78,0.415587316719573
0,1,1,0,0,0,0,0,0,0,"May",0,0,248.7,0,0,0,0,0,0,6.4,0.117229818465572
0,1,1,0,0,0,0,0,0,0,"August",0,0,0.69,0,0,0,0,0,0,26.35,0.118798201405623
0,0,0,0,1,0,1,0,1,0,"May",0,0,0,0,10.33,0,198.3,0,13.55,42.4,0.788362509112335
0,0,0,0,1,0,1,0,1,0,"August",0,0,0,0,0.12,0,40.5,0,1.09,1.25,0.268156753383629
0,0,0,0,1,0,1,0,0,0,"May",0,0,0,0,36.5,0,110.5,0,0,13.7,0.804091634366722
0,0,0,0,1,0,1,0,0,0,"August",0,0,0,0,159.6,0,27.39,0,0,0.97,0.446728903649657
