"","Experimenta_plot","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"1","B1B003",1,0,1,1,0,0,1,1,1,0
"2","B1B004",0,1,0,0,0,1,0,0,1,0
"3","B1B006",0,0,0,0,0,1,1,1,0,0
"4","B1B007",1,1,0,0,0,0,0,0,0,0
"5","B1B008",1,1,1,0,0,0,0,0,0,0
"6","B1B009",0,0,0,0,1,0,0,1,0,0
"7","B1B010",0,1,1,1,0,1,1,0,1,0
"8","B1B011",1,0,1,1,1,1,0,1,0,0
"9","B1B012",0,0,1,1,0,0,0,0,0,0
"10","B1B016",0,1,0,0,0,0,0,1,0,0
"11","B1B017",0,0,1,1,0,0,1,1,0,0
"12","B1B019",0,0,1,1,0,1,0,0,0,0
"13","B1B021",1,1,0,1,0,0,0,0,1,0
"14","B1B022",0,0,1,0,0,0,0,0,0,0
"15","B1B023",1,0,0,0,0,1,0,0,0,0
"16","B1B024",1,0,0,0,0,1,0,0,1,0
"17","B1B025",0,1,0,0,0,0,0,0,0,0
"18","B1B026",0,1,0,1,0,0,0,0,0,0
"19","B1B028",0,0,0,0,1,1,0,0,0,0
"20","B1B031",1,1,1,1,1,1,1,1,1,0
"21","B1B034",0,1,0,0,0,1,0,1,1,0
"22","B1B035",0,1,1,0,0,1,1,0,0,0
"23","B1B037",0,0,0,0,1,0,0,0,0,0
"24","B1B039",0,1,0,0,0,0,1,0,0,0
"25","B1B041",0,1,0,1,0,0,1,0,0,0
"26","B1B043",1,1,0,1,0,1,1,1,0,0
"27","B1B048",1,0,0,0,0,0,0,0,0,0
"28","B1B049",0,0,0,0,0,1,0,0,1,0
"29","B1B050",1,0,0,1,1,1,1,0,1,0
"30","B1B052",1,0,0,0,0,0,0,0,1,0
"31","B1B054",0,1,0,0,1,0,1,1,0,0
"32","B1B060",0,1,0,0,0,0,0,0,1,0
"33","B1B061",0,1,1,0,0,0,0,0,0,0
"34","B1B064",0,0,0,0,1,0,1,0,1,0
"35","B1B065",0,0,0,0,1,0,1,0,0,0
"36","B1B066",0,1,0,0,1,1,0,0,0,0
"37","B1B069",1,1,1,1,1,1,1,1,1,0
"38","B1B070",0,1,1,0,1,0,0,0,1,0
"39","B1B071",0,0,0,0,0,1,1,0,0,0
"40","B1B072",0,0,0,0,0,0,0,1,1,0
"41","B1B074",0,0,0,1,1,0,1,0,1,0
"42","B1B078",0,0,0,0,1,1,0,1,1,0
"43","B1B079",0,1,1,0,0,0,0,1,0,0
"44","B1B082",0,0,0,1,0,0,0,1,1,0
"45","B1B083",1,1,1,0,0,1,0,1,1,0
"46","B1B084",1,1,0,1,0,0,0,1,0,0
"47","B1B087",1,0,0,0,1,0,0,0,0,0
"48","B1B089",1,0,1,0,0,0,1,0,0,0
"49","B1B091",0,0,1,0,1,0,0,0,0,0
"50","B1B092",0,0,0,0,0,0,1,1,0,0
"51","B1B095",1,0,0,0,0,1,1,0,0,0
"52","B2B001",0,0,1,0,0,1,0,0,0,0
"53","B2B002",1,1,1,1,1,1,1,1,1,0
"54","B2B005",1,0,0,0,1,0,0,0,0,0
"55","B2B007",1,0,0,0,0,0,0,0,1,0
"56","B2B008",0,0,0,1,0,0,0,0,0,0
"57","B2B010",0,0,0,1,1,0,0,0,0,0
"58","B2B012",0,1,0,0,1,1,0,0,0,0
"59","B2B013",1,0,1,0,0,0,0,0,0,0
"60","B2B015",0,1,1,0,1,0,0,0,1,0
"61","B2B018",1,0,0,0,0,0,0,1,0,0
"62","B2B019",0,0,0,1,0,0,1,0,0,0
"63","B2B020",0,1,0,0,0,0,0,0,0,0
"64","B2B023",1,0,0,1,1,0,0,0,0,0
"65","B2B024",1,0,1,0,0,0,1,0,0,0
"66","B2B025",1,0,0,0,0,0,1,0,0,0
"67","B2B026",0,0,1,0,0,0,0,0,1,0
"68","B2B027",1,1,0,0,0,1,1,0,0,0
"69","B2B032",0,0,1,0,1,1,0,0,0,0
"70","B2B035",0,0,1,0,0,0,0,1,0,0
"71","B2B036",1,1,1,0,1,1,1,0,0,0
"72","B2B039",0,0,0,0,1,0,1,0,1,0
"73","B2B040",1,0,0,1,1,1,0,0,0,0
"74","B2B043",0,0,1,0,0,0,0,0,0,0
"75","B2B044",1,0,0,0,0,0,0,1,1,0
"76","B2B046",1,0,0,0,1,0,0,1,0,0
"77","B2B051",0,0,1,1,0,1,0,0,0,0
