"","Experimenta_plot","month","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"1","B1B003","May",0,0,16.39,0,0,0,165.1,0,0,4.98
"2","B1B003","August",0,0,0,0,0,0,84,0,0,1.3
"3","B1B004","May",0,0,0,0,0,193.2,0,0,22.4,33.1
"4","B1B004","August",0,0,0,0,0,30.7,0,0,8.84,6.15
"5","B1B006","May",0,0,0,0,0,91.3,135.4,11.6,0,5
"6","B1B006","August",0,0,0,0,0,14.07,22.71,0,0,0
"7","B1B007","May",1.16,0,0,0,0,0,0,0,0,24.2
"8","B1B007","August",0,0,0,0,0,0,0,0,0,11.21
"9","B1B008","May",0,109.1,41,0,0,0,0,0,0,41
"10","B1B008","August",0,27.4,0,0,0,0,0,0,0,12.3
"11","B1B009","May",0,0,0,0,0,0,0,6.33,0,35.6
"12","B1B009","August",0,0,0,0,121.7,0,0,1.52,0,4
"13","B1B010","May",0,0,9.11,0,0,85,236.2,0,16.2,19.88
"14","B1B010","August",0,0,0,0,0,25.22,60.5,0,0,0
"15","B1B011","May",0,0,4.23,0,30.7,93,0,0,0,25.1
"16","B1B011","August",0,0,0,0,34.5,29.55,0,0,0,16.55
"17","B1B012","May",0,0,90.8,0,0,0,0,0,0,14.3
"18","B1B012","August",0,0,0.21,0,0,0,0,0,0,28.09
"19","B1B016","May",0,35.9,0,0,0,0,0,0,0,4.25
"20","B1B016","August",0,36.5,0,0,0,0,0,0,0,9.92
"21","B1B017","May",0,0,0,0,0,0,232,0,0,2
"22","B1B017","August",0,0,0,0,0,0,59.2,0,0,24.5
"23","B1B019","May",0,0,7.24,0,0,119.2,0,0,0,97
"24","B1B019","August",0,0,0,0,0,65.5,0,0,0,8.87
"25","B1B021","May",0,42.2,0,0,0,0,0,0,86,8.5
"26","B1B021","August",0,45.8,0,0,0,0,0,0,19.8,22.09
"27","B1B023","May",0,0,0,0,0,131.2,0,0,0,16.57
"28","B1B023","August",0,0,0,0,0,67.3,0,0,0,3.42
"29","B1B024","May",0,0,0,0,0,95.7,0,0,113,26.2
"30","B1B024","August",0,0,0,0,0,31.84,0,0,4.31,5.35
"31","B1B026","May",0,14.43,0,0,0,0,0,0,0,13.4
"32","B1B026","August",0,13.47,0,0,0,0,0,0,0,43
"33","B1B028","May",0,0,0,0,32.8,53.5,0,0,0,9.1
"34","B1B028","August",0,0,0,0,37.82,21.32,0,0,0,7.24
"35","B1B031","May",0,0,5.29,0,16.3,28.5,227.5,0,0,10
"36","B1B031","August",0,0,0,0,29,13.47,53,0,0,0.4
"37","B1B034","May",0,36,0,0,0,373.8,0,0.3,18,17.6
"38","B1B034","August",0,0,0,0,0,41.3,0,0.099,1.01,6.72
"39","B1B035","May",0,44.8,15.6,0,0,4.39,270.7,0,0,134
"40","B1B035","August",0,9.16,0,0,0,12.14,156.2,0,0,5.64
"41","B1B039","May",0,105.5,0,0,0,0,130.8,0,0,11.8
"42","B1B039","August",0,0.92,0,0,0,0,46.4,0,0,1.52
"43","B1B041","May",0,9.36,0,0,0,0,137.3,0,0,13.2
"44","B1B041","August",0,9.02,0,0,0,0,75.2,0,0,7.16
"45","B1B043","May",3.36,43.5,0,0,0,21.3,156.4,0,0,4.04
"46","B1B043","August",0,7.93,0,0,0,10.48,81,0,0,0.43
"47","B1B049","May",0,0,0,0,0,0.59,0,0,72.3,7.32
"48","B1B049","August",0,0,0,0,0,0,0,0,49,25.13
"49","B1B050","May",0.08,0,0,4.71,2.59,4.08,138.5,0,9.59,13.5
"50","B1B050","August",0,0,0,0,155.5,5.76,36.1,0,0,3.13
"51","B1B052","May",0,0,0,0,0,0,0,0,161,9.51
"52","B1B052","August",0.07,0,0,0,0,0,0,0,46.2,3.37
"53","B1B054","May",0,69,0,0,55,0,218.5,0,0,66.2
"54","B1B054","August",0,0,0,0,38.24,0,9.89,0,0,5.8
"55","B1B060","May",0,6.47,0,0,0,0,0,0,46.2,27.3
"56","B1B060","August",0,0,0,0,0,0,0,0,39.68,6.78
"57","B1B061","May",0,0,248.7,0,0,0,0,0,0,6.4
"58","B1B061","August",0,0,0.69,0,0,0,0,0,0,26.35
"59","B1B064","May",0,0,0,0,10.33,0,198.3,0,13.55,42.4
"60","B1B064","August",0,0,0,0,0.12,0,40.5,0,1.09,1.25
"61","B1B065","May",0,0,0,0,36.5,0,110.5,0,0,13.7
"62","B1B065","August",0,0,0,0,159.6,0,27.39,0,0,0.97
"63","B1B066","May",0,50.3,0,0,45.5,318.3,0,0,0,25
"64","B1B066","August",0,0,0,0,19.93,24.5,0,0,0,12.03
"65","B1B069","May",0,8.11,67.3,0,32.7,18.3,263.4,0,0,2.99
"66","B1B069","August",0,0,0.2,0,209.5,2.57,19.14,0,1.2,0
"67","B1B070","May",0,8,87.8,0,50.1,0,0,0,26.1,112.9
"68","B1B070","August",0,0,0,0,96.3,0,0,0,1.29,8.36
"69","B1B071","May",0,0,0,0,0,5.25,327.2,0,0,13.8
"70","B1B071","August",0,0,0,0,0,18.74,66.5,0,0,0.1
"71","B1B072","May",0,0,0,0,0,0,0,0,217,246.47
