Genere,Amanita rubescens,Butyriboletus fechtneri,Cenococcum geophilum,Ceratobasidiaceae sp1,Ceratobasidium sp1,Russula sp12,Ceratobasidium sp5,Clavulina sp. ,Hydnaceae sp2,Cortinariaceae sp1,Cortinariaceae sp2,Inocybe sp.12,Inocybe sp.13,Cortinarius gallurae,Cortinarius sp1,Cortinariaceae sp.6,Entoloma sp1,Hebeloma cistophilum,Hebeloma parvicystidiatum,Sistotrema sp.,Hygrophorus sp1,Hymenogaster sp1,Inocybe lutescens,inocybe sp.7,Inocybe pseudorubens,Inocybe sp.15,Inocybe sp.16,Inocybe geophylla,Inosperma lanatodiscum,Inocybe sp.14,Pseudosperma rimosum,Inocybe sp1,Inocybe sp10,Inocybe sp11,Inocybe sp3,Inocybe transitoria,Inocybe sp5,Inocybe sp6,Inocybe bresadolae,Laccaria bicolor,Laccaria sp.,Laccaria sp1,Lactarius acerrimus,Lactarius azonites,Lactarius chrysorrheus,Lactarius sp. ,Lactarius subumbonatus,Peziza succosella,Pachyphlodes nemoralis ,Pyronemataceae sp1,Russula amoenolens,Russula insignis,Russula odorata,Russula sp13 ,Russula sp1,Russula sp10,Russula sp2,Russula sp3,Russula sp4,Russula violacea,Russula sp6,Russula sp7,Russula praetervisa,Russula sp9,Russulaceae sp1,Scleroderma sp1,Sebacina sp1,Sebacina sp2,Sebacinales  ,Sebacinales sp1,Inocybe sp.17,Tomentella sp98,Thelephoraceae sp3,Thelephora sp.,Tomentella badia,Tomentella sp1,Tomentella sp15,Tomentella sp17,Tomentella sp18,Tomentella sp19,Tomentella sp2,Tomentella sp20,Tomentella sp21,Thelephoraceae sp.6,Thelephoraceae sp.5,Russula sp.11,Tricholomataceae,Tomentella sp27,Thelephoraceae,Tomentella sp4,Tomentella sp52,Tomentella stuposa ,Tomentella sp9,Tomentella sp90,Tomentella sp91,Thelephoraceae sp7,Tomentella sp97,Tomentella viridula,Tricholoma scalpturatum ,Uncultured ectomycorrhizal fungus,Tricholoma sulphureum,Xerocomus cisalpinus,Xerocomus rubellus,Xerocomellus porosporus,Xerocomus subtomentosus,Cortinarius sp3,Sebacinaceae sp1,Tomentella sp75,Tomentella sp92,Lactarius sp1,Boletus aereus,Cantharellales,Ceratobasidium sp4,Inosperma acutofulva,Leccinellum sp.,Russula graveolens,Thelephorales ,Tomentella sp14,Trechisporales sp,Entoloma leucocarpum
b1l1,,,,,,,,,,,,,,60,,,,,,,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l3,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l4,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l6,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l7,,,40,,,,,,,,,,,,,20,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l8,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l9,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l10,,,20,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l31,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l32,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,
b1l33,,,,,,,,,,,,40,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
b1l35,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
b1l36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l37,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,
b1l38,,,20,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1l40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1n1,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
