"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","diversity.desirability"
1,0,0,0,0,0,0,0,0,0.12323,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.14113,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13199,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.14444,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13306,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.12451,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13418,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13045,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07266,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07353,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07209,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07483,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07246,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.06647,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.06849,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.0711,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.07488,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.07866,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.0819,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.0897,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.08225,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.08185,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00335,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00260999999999999,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00307,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00405999999999999,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00392,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00378999999999999,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00319999999999999,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0602,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.06077,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.04094,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05925,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05727,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05297,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05343,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05858,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15174,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1509,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.13934,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14184,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15215,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14085,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14845,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15331,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11812,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10996,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10438,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10369,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10739,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10036,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10337,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10323,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14588,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15567,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15236,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14879,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14208,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14385,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15322,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15522,0
1,1,0,0,0,0,0,0,0,0.0435788571429,0.0950811428571,0,0,0,0,0,0,0.62248692065729
1,1,0,0,0,0,0,0,0,0.055836,0.130284,0,0,0,0,0,0,0.610864302054893
1,0,1,0,0,0,0,0,0,0.0437924468085106,0,0.0889975531914894,0,0,0,0,0,0.634027855656109
1,0,1,0,0,0,0,0,0,0.0439822222222222,0,0.0920877777777778,0,0,0,0,0,0.62928192701554
1,0,0,1,0,0,0,0,0,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,0.636514168294813
1,0,0,1,0,0,0,0,0,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,0.596402795587214
1,0,0,0,1,0,0,0,0,0.0608336842105263,0,0,0,0.0595663157894737,0,0,0,0.693091777874735
1,0,0,0,1,0,0,0,0,0.0535505454545454,0,0,0,0.0691694545454545,0,0,0,0.685025998552649
1,0,0,0,0,1,0,0,0,0.00738848484848485,0,0,0,0,0.114521515151515,0,0,0.228631873582862
1,0,0,0,0,1,0,0,0,0.00236316666666667,0,0,0,0,0.139426833333333,0,0,0.0847660757148101
1,0,0,0,0,0,1,0,0,0.00549066666666667,0,0,0,0,0,0.0974593333333333,0,0.208215464010804
1,0,0,0,0,0,1,0,0,0.00521788732394366,0,0,0,0,0,0.118272112676056,0,0.17504099228104
1,0,0,0,0,0,0,1,0,0.12793,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0.120278796992481,0,0,0,0,0,0,0.000911203007518797,0.0442600020458067
0,1,1,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0.08931,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0.06983,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0.07833,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0.0331168627451,0,0,0.0318431372549,0,0,0,0.692954934483863
0,1,0,0,1,0,0,0,0,0,0.0295087719298,0,0,0.0377712280702,0,0,0,0.685587329039789
0,1,0,0,0,1,0,0,0,0,0.045038,0,0,0,0.083642,0,0,0.647446639034633
0,1,0,0,0,1,0,0,0,0,0.0468424358974,0,0,0,0.0791475641026,0,0,0.659904035958308
0,1,0,0,0,0,1,0,0,0,0.0793757017544,0,0,0,0,0.0739942982456,0,0.69253148016446
0,1,0,0,0,0,1,0,0,0,0.0968484269663,0,0,0,0,0.0721615730337,0,0.682441073793438
0,1,0,0,0,0,0,1,0,0,0.0482434188034,0,0,0,0,0,0.0427965811966,0.691356353083408
