"Plot;Harvest;Species;Abundance"
"1;A16;Cj;0.333333333"
"1;A16;Dg;0.133333333"
"1;A16;Sp;0.133333333"
"1;A16;To;0.4"
"2;A16;Dc;0.08045977"
"2;A16;Lp;0.344827586"
"2;A16;Pm;0.114942529"
"2;A16;To;0.459770115"
"3;A16;Ao;0.010638298"
"3;A16;Be;0.010638298"
"3;A16;Cb;0.265957447"
"3;A16;Cj;0.212765957"
"3;A16;Hl;0.010638298"
"3;A16;Hp;0.010638298"
"3;A16;Lp;0.212765957"
"3;A16;To;0.265957447"
"4;A16;Dg;1"
"5;A16;Ao;0.1875"
"5;A16;Dg;0.125"
"5;A16;Hp;0.3125"
"5;A16;Ra;0.375"
"6;A16;Pm;1"
"7;A16;Dg;0.571428571"
"7;A16;Hl;0.142857143"
"7;A16;Pt;0.285714286"
"8;A16;Ao;1"
"9;A16;Dg;0.071428571"
"9;A16;Lp;0.428571429"
"9;A16;To;0.5"
"10;A16;Ao;0.017857143"
"10;A16;Cj;0.446428571"
"10;A16;Dc;0.178571429"
"10;A16;Sp;0.357142857"
"11;A16;Ao;0.017857143"
"11;A16;Be;0"
"11;A16;Cj;0.178571429"
"11;A16;Dc;0.089285714"
"11;A16;Fr;0.089285714"
"11;A16;Pg;0.267857143"
"11;A16;Pm;0.089285714"
"11;A16;Sp;0.267857143"
"12;A16;Cb;0.441176471"
"12;A16;Dg;0.014705882"
"12;A16;Ga;0.058823529"
"12;A16;Lp;0.25"
"12;A16;Pt;0.014705882"
"12;A16;Ra;0.220588235"
"13;A16;Cb;0.660377358"
"13;A16;Ga;0.226415094"
"13;A16;Hl;0.113207547"
"14;A16;Am;0.526315789"
"14;A16;Dc;0.105263158"
"14;A16;Lp;0.210526316"
"14;A16;To;0.157894737"
"15;A16;Dc;0.064102564"
"15;A16;Hp;0.012820513"
"15;A16;Pg;0.217948718"
"15;A16;Sp;0.705128205"
"16;A16;Dc;1"
"17;A16;Ra;1"
"18;A16;Be;0"
"18;A16;Dc;0.120481928"
"18;A16;Fr;0.048192771"
"18;A16;Ga;0.024096386"
"18;A16;Lp;0.240963855"
"18;A16;Pt;0.024096386"
"18;A16;Sp;0.361445783"
"18;A16;To;0.180722892"
"19;A16;Cb;0.483870968"
"19;A16;Dg;0.080645161"
"19;A16;Pt;0.032258065"
"19;A16;To;0.403225806"
"20;A16;Pt;1"
"21;A16;Am;0.192090395"
"21;A16;Ao;0"
"21;A16;Be;0.011299435"
"21;A16;Cb;0.225988701"
"21;A16;Cj;0.033898305"
"21;A16;Dc;0.011299435"
"21;A16;Dg;0.011299435"
"21;A16;Fr;0.033898305"
"21;A16;Ga;0.02259887"
"21;A16;Hl;0.011299435"
"21;A16;Hp;0.011299435"
"21;A16;Lp;0.11299435"
"21;A16;Pg;0.016949153"
"21;A16;Pm;0"
"21;A16;Pt;0.033898305"
"21;A16;Ra;0.056497175"
"21;A16;Sp;0.011299435"
"21;A16;To;0.203389831"
"22;A16;Ao;0.029411765"
"22;A16;Cj;0.735294118"
"22;A16;Hp;0.014705882"
"22;A16;Pg;0.220588235"
"23;A16;Am;0.365853659"
"23;A16;Cj;0.304878049"
"23;A16;Fr;0.304878049"
"23;A16;Hp;0.024390244"
"24;A16;Dg;0.065934066"
"24;A16;Lp;0.164835165"
"24;A16;Pt;0.054945055"
"24;A16;To;0.714285714"
"25;A16;Hp;0.117647059"
"25;A16;Pg;0.235294118"
"25;A16;Pm;0.058823529"
"25;A16;Sp;0.588235294"
"26;A16;Hl;1"
"27;A16;Dg;0.0375"
"27;A16;Lp;0.5625"
"27;A16;Ra;0.4"
"28;A16;Ao;0.012820513"
"28;A16;Be;0"
"28;A16;Cj;0.448717949"
"28;A16;Dc;0.064102564"
"28;A16;Fr;0.256410256"
"28;A16;Hp;0.025641026"
"28;A16;Pg;0.128205128"
"28;A16;Pm;0.064102564"
"29;A16;Am;0.479452055"
"29;A16;Be;0"
"29;A16;Cj;0.164383562"
"29;A16;Dc;0.04109589"
"29;A16;Hp;0.02739726"
"29;A16;Pg;0.068493151"
"29;A16;Pm;0.01369863"
"29;A16;Sp;0.205479452"
"30;A16;Am;1"
"32;A16;Lp;1"
"33;A16;Fr;0.588235294"
"33;A16;Pt;0.058823529"
"33;A16;Ra;0.235294118"
"33;A16;Sp;0.117647059"
"34;A16;Ao;0.012195122"
"34;A16;Cb;0.670731707"
"34;A16;Dg;0.036585366"
"34;A16;Ga;0.048780488"
"34;A16;Hp;0.06097561"
"34;A16;Pg;0.012195122"
"34;A16;Ra;0.12195122"
"34;A16;Sp;0.036585366"
"35;A16;Be;0.055555556"
"35;A16;Cb;0.486111111"
"35;A16;Dc;0.097222222"
"35;A16;Dg;0.055555556"
"35;A16;Hl;0.041666667"
"35;A16;Hp;0.083333333"
"35;A16;Pg;0.041666667"
"35;A16;Ra;0.138888889"
"36;A16;Cb;0.546511628"
"36;A16;Dg;0.023255814"
"36;A16;Hl;0.011627907"
"36;A16;Lp;0.197674419"
"36;A16;Pt;0.023255814"
"36;A16;To;0.197674419"
"37;A16;Ao;0.010309278"
"37;A16;Dc;0.103092784"
"37;A16;Fr;0.824742268"
"37;A16;Pm;0.06185567"
"38;A16;Ao;0.021978022"
"38;A16;Dc;0.054945055"
"38;A16;Dg;0.043956044"
"38;A16;To;0.879120879"
"39;A16;Cb;0.623529412"
"39;A16;Hp;0.023529412"
"39;A16;Lp;0.317647059"
"39;A16;Pg;0.035294118"
"40;A16;Ga;0.031914894"
"40;A16;Hl;0.010638298"
"40;A16;Lp;0.457446809"
"40;A16;Pt;0.042553191"
"40;A16;Ra;0.212765957"
"40;A16;To;0.244680851"
"41;A16;Am;0.574712644"
"41;A16;Ao;0"
"41;A16;Be;0.057471264"
"41;A16;Cj;0.114942529"
"41;A16;Dc;0.034482759"
"41;A16;Fr;0.172413793"
"41;A16;Hp;0.022988506"
"41;A16;Pm;0.022988506"
"42;A16;Be;0.046875"
"42;A16;Cj;0.78125"
"42;A16;Dc;0.09375"
"42;A16;Pm;0.078125"
"43;A16;Am;0.051282051"
"43;A16;Ao;0.01025641"
"43;A16;Be;0.01025641"
"43;A16;Cb;0.051282051"
"43;A16;Cj;0.061538462"
"43;A16;Dc;0.01025641"
"43;A16;Dg;0.030769231"
"43;A16;Fr;0.030769231"
"43;A16;Ga;0.01025641"
"43;A16;Hl;0.256410256"
"43;A16;Hp;0.015384615"
"43;A16;Lp;0.307692308"
"43;A16;Pg;0.01025641"
"43;A16;Pm;0.01025641"
"43;A16;Pt;0.020512821"
"43;A16;Ra;0"
"43;A16;Sp;0.01025641"
"43;A16;To;0.102564103"
"44;A16;Am;0.181818182"
"44;A16;Ao;0.018181818"
"44;A16;Dg;0.036363636"
"44;A16;Hl;0.054545455"
"44;A16;Pg;0.109090909"
"44;A16;Pm;0.054545455"
"44;A16;Ra;0.545454545"
"45;A16;Be;1"
"46;A16;Am;0.151515152"
"46;A16;Ao;0.015151515"
"46;A16;Fr;0.757575758"
"46;A16;Hp;0.075757576"
"47;A16;Pg;1"
"48;A16;Cb;0.306748466"
"48;A16;Dg;0.042944785"
"48;A16;Ga;0.049079755"
"48;A16;Hl;0.024539877"
"48;A16;Pt;0.024539877"
"48;A16;To;0.552147239"
"49;A16;Dc;0.122807018"
"49;A16;Hl;0.052631579"
"49;A16;Hp;0.035087719"
"49;A16;Pg;0.175438596"
"49;A16;Pm;0.175438596"
"49;A16;To;0.438596491"
"50;A16;Am;0.454545455"
"50;A16;Ao;0.012987013"
"50;A16;Be;0.064935065"
"50;A16;Dc;0.038961039"
"50;A16;Fr;0.12987013"
"50;A16;Hp;0.038961039"
"50;A16;Pm;0.064935065"
"50;A16;Sp;0.194805195"
"51;A16;Am;0.040540541"
"51;A16;Be;0.027027027"
"51;A16;Cj;0.337837838"
"51;A16;Dc;0.081081081"
"51;A16;Fr;0.337837838"
"51;A16;Pg;0.013513514"
"51;A16;Pm;0.027027027"
"51;A16;Sp;0.135135135"
"52;A16;To;1"
"53;A16;Dg;0.058823529"
"53;A16;Ga;0.058823529"
"53;A16;Ra;0.882352941"
"54;A16;Am;0.434210526"
"54;A16;Ao;0.013157895"
"54;A16;Be;0.026315789"
"54;A16;Cj;0.289473684"
"54;A16;Dc;0.039473684"
"54;A16;Pg;0.039473684"
"54;A16;Pm;0.026315789"
"54;A16;Sp;0.131578947"
"55;A16;Am;0.422077922"
"55;A16;Ao;0.012987013"
"55;A16;Dc;0.045454545"
"55;A16;Pm;0.519480519"
"56;A16;Cj;1"
"57;A16;Am;0.4"
"57;A16;Ao;0.013333333"
"57;A16;Be;0.026666667"
"57;A16;Cj;0.16"
"57;A16;Fr;0.333333333"
"57;A16;Hp;0.026666667"
"57;A16;Pg;0.013333333"
"57;A16;Sp;0.026666667"
"58;A16;Dg;0.052631579"
"58;A16;Ga;0.078947368"
"58;A16;Ra;0.868421053"
"59;A16;Am;0.050761421"
"59;A16;Ao;0.010152284"
"59;A16;Be;0"
"59;A16;Cb;0.121827411"
"59;A16;Cj;0.010152284"
"59;A16;Dc;0.010152284"
"59;A16;Dg;0.101522843"
"59;A16;Fr;0.040609137"
"59;A16;Ga;0.020304569"
"59;A16;Hl;0.040609137"
"59;A16;Hp;0.010152284"
"59;A16;Lp;0.243654822"
"59;A16;Pg;0.010152284"
