Plot;Harvest;Species;Biomass;Notes
1;A16;Cj;6.386842105;
1;A16;Dg;2.554736842;
1;A16;Sp;2.554736842;
1;A16;To;7.664210526;
2;A16;Dc;0.837113402;
2;A16;Lp;3.587628866;
2;A16;Pm;1.195876289;
2;A16;To;4.783505155;
3;A16;Ao;0.328221154;
3;A16;Be;0.328221154;
3;A16;Cb;8.205528846;
3;A16;Cj;6.564423077;
3;A16;Hl;0.328221154;
3;A16;Hp;0.328221154;
3;A16;Lp;6.564423077;
3;A16;To;8.205528846;
4;A16;Dg;2.563762376;
5;A16;Ao;0.9040625;
5;A16;Dg;0.602708333;
5;A16;Hp;1.506770833;
5;A16;Ra;1.808125;
6;A16;Pm;3.854210526;
7;A16;Dg;1.110103093;
7;A16;Hl;0.277525773;
7;A16;Pt;0.555051546;
8;A16;Ao;2.715510204;
9;A16;Dg;2.324736842;
9;A16;Lp;13.94842105;
9;A16;To;16.27315789;
10;A16;Ao;0.297311321;
10;A16;Cj;7.432783019;
10;A16;Dc;2.973113208;
10;A16;Sp;5.946226415;
11;A16;Ao;0.198072917;
11;A16;Be;0;
11;A16;Cj;1.980729167;
11;A16;Dc;0.990364583;
11;A16;Fr;0.990364583;
11;A16;Pg;2.97109375;
11;A16;Pm;0.990364583;
11;A16;Sp;2.97109375;
12;A16;Cb;3.820967742;
12;A16;Dg;0.127365591;
12;A16;Ga;0.509462366;
12;A16;Lp;2.165215054;
12;A16;Pt;0.127365591;
12;A16;Ra;1.910483871;
13;A16;Cb;12.061875;
13;A16;Ga;4.1355;
13;A16;Hl;2.06775;
14;A16;Am;13.9525;
14;A16;Dc;2.7905;
14;A16;Lp;5.581;
14;A16;To;4.18575;
15;A16;Dc;0.692475728;
15;A16;Hp;0.138495146;
15;A16;Pg;2.354417476;
15;A16;Sp;7.61723301;
16;A16;Dc;10.84;
17;A16;Ra;11.04166667;
18;A16;Be;0;
18;A16;Dc;1.915306122;
18;A16;Fr;0.766122449;
18;A16;Ga;0.383061224;
18;A16;Lp;3.830612245;
18;A16;Pt;0.383061224;
18;A16;Sp;5.745918367;
18;A16;To;2.872959184;
19;A16;Cb;16.39827586;
19;A16;Dg;2.733045977;
19;A16;Pt;1.093218391;
19;A16;To;13.66522989;
20;A16;Pt;2.399;
21;A16;Am;2.644923858;
21;A16;Ao;0;
21;A16;Be;0.155583756;
21;A16;Cb;3.111675127;
21;A16;Cj;0.466751269;
21;A16;Dc;0.155583756;
21;A16;Dg;0.155583756;
21;A16;Fr;0.466751269;
21;A16;Ga;0.311167513;
21;A16;Hl;0.155583756;
21;A16;Hp;0.155583756;
21;A16;Lp;1.555837563;
