Plot;Harvest;Species;Herbivory;Notes
1;J18;Cj;1.4;
1;J18;Dg;0.72;
1;J18;Sp;1.56;
1;J18;To;1.6;
2;J18;Dc;NA;set to associated monoculture value
2;J18;Lp;NA;set to associated monoculture value
2;J18;Pm;NA;set to associated monoculture value
2;J18;To;NA;set to associated monoculture value
3;J18;Ao;NA;set to associated monoculture value
3;J18;Be;NA;set to associated monoculture value
3;J18;Cb;NA;set to associated monoculture value
3;J18;Cj;NA;set to associated monoculture value
3;J18;Hl;NA;set to associated monoculture value
3;J18;Hp;NA;set to associated monoculture value
3;J18;Lp;NA;set to associated monoculture value
3;J18;To;NA;set to associated monoculture value
4;J18;Dg;0.84;
5;J18;Ao;NA;set to associated monoculture value
5;J18;Dg;NA;set to associated monoculture value
5;J18;Hp;NA;set to associated monoculture value
5;J18;Ra;NA;set to associated monoculture value
6;J18;Pm;0.8;
7;J18;Dg;NA;set to associated monoculture value
7;J18;Hl;NA;set to associated monoculture value
7;J18;Pt;NA;set to associated monoculture value
8;J18;Ao;0.24;
9;J18;Dg;NA;set to associated monoculture value
9;J18;Lp;NA;set to associated monoculture value
9;J18;To;NA;set to associated monoculture value
10;J18;Ao;NA;set to associated monoculture value
10;J18;Cj;NA;set to associated monoculture value
10;J18;Dc;NA;set to associated monoculture value
10;J18;Sp;NA;set to associated monoculture value
11;J18;Ao;NA;set to associated monoculture value
11;J18;Be;0.238095238095238;
11;J18;Cj;1.2;
11;J18;Dc;NA;set to associated monoculture value
11;J18;Fr;0.36;
11;J18;Pg;0.16;
11;J18;Pm;0.48;
11;J18;Sp;1.16;
12;J18;Cb;NA;set to associated monoculture value
12;J18;Dg;NA;set to associated monoculture value
12;J18;Ga;NA;set to associated monoculture value
12;J18;Lp;NA;set to associated monoculture value
12;J18;Pt;NA;set to associated monoculture value
12;J18;Ra;NA;set to associated monoculture value
13;J18;Cb;0.16;
13;J18;Ga;0.52;
13;J18;Hl;0.16;
14;J18;Am;NA;set to associated monoculture value
14;J18;Dc;NA;set to associated monoculture value
14;J18;Lp;NA;set to associated monoculture value
14;J18;To;NA;set to associated monoculture value
15;J18;Dc;NA;set to associated monoculture value
15;J18;Hp;0.28;
15;J18;Pg;0.12;
15;J18;Sp;1;
16;J18;Dc;0.12;
17;J18;Ra;1.92;
18;J18;Be;0.5;
18;J18;Dc;NA;set to associated monoculture value
18;J18;Fr;0.44;
18;J18;Ga;1.2;
18;J18;Lp;0.72;
18;J18;Pt;0.12;
18;J18;Sp;1.28;
18;J18;To;1;
19;J18;Cb;NA;set to associated monoculture value
19;J18;Dg;NA;set to associated monoculture value
19;J18;Pt;NA;set to associated monoculture value
19;J18;To;NA;set to associated monoculture value
20;J18;Pt;0.68;
21;J18;Am;0.16;
21;J18;Ao;NA;set to associated monoculture value
21;J18;Be;0.4;
21;J18;Cb;0.4;
21;J18;Cj;1.16;
21;J18;Dc;NA;set to associated monoculture value
21;J18;Dg;0.285714285714286;
21;J18;Fr;0.16;
21;J18;Ga;0.64;
21;J18;Hl;0.6;
21;J18;Hp;0.4;
21;J18;Lp;0.48;
21;J18;Pg;0.28;
21;J18;Pm;0.4;
21;J18;Pt;0.0909090909090909;
21;J18;Ra;NA;set to associated monoculture value
21;J18;Sp;0.52;
21;J18;To;1.2;
22;J18;Ao;NA;set to associated monoculture value
22;J18;Cj;NA;set to associated monoculture value
22;J18;Hp;NA;set to associated monoculture value
22;J18;Pg;NA;set to associated monoculture value
23;J18;Am;NA;set to associated monoculture value
23;J18;Cj;NA;set to associated monoculture value
23;J18;Fr;NA;set to associated monoculture value
23;J18;Hp;NA;set to associated monoculture value
24;J18;Dg;0.68;
24;J18;Lp;0.64;
24;J18;Pt;0.48;
24;J18;To;1.2;
25;J18;Hp;0.72;
25;J18;Pg;0.36;
25;J18;Pm;0.76;
25;J18;Sp;1.16;
26;J18;Hl;0.36;
27;J18;Dg;NA;set to associated monoculture value
27;J18;Lp;NA;set to associated monoculture value
27;J18;Ra;NA;set to associated monoculture value
28;J18;Ao;NA;set to associated monoculture value
28;J18;Be;NA;set to associated monoculture value
28;J18;Cj;NA;set to associated monoculture value
28;J18;Dc;NA;set to associated monoculture value
28;J18;Fr;NA;set to associated monoculture value
28;J18;Hp;NA;set to associated monoculture value
28;J18;Pg;NA;set to associated monoculture value
28;J18;Pm;NA;set to associated monoculture value
29;J18;Am;NA;set to associated monoculture value
29;J18;Be;NA;set to associated monoculture value
29;J18;Cj;NA;set to associated monoculture value
29;J18;Dc;NA;set to associated monoculture value
29;J18;Hp;NA;set to associated monoculture value
29;J18;Pg;NA;set to associated monoculture value
29;J18;Pm;NA;set to associated monoculture value
29;J18;Sp;NA;set to associated monoculture value
30;J18;Am;0.36;
32;J18;Lp;0.88;
33;J18;Fr;0.48;
33;J18;Pt;0.16;
33;J18;Ra;NA;set to associated monoculture value
33;J18;Sp;1.4;
34;J18;Ao;NA;set to associated monoculture value
34;J18;Cb;NA;set to associated monoculture value
34;J18;Dg;NA;set to associated monoculture value
34;J18;Ga;NA;set to associated monoculture value
34;J18;Hp;NA;set to associated monoculture value
34;J18;Pg;NA;set to associated monoculture value
34;J18;Ra;NA;set to associated monoculture value
34;J18;Sp;NA;set to associated monoculture value
35;J18;Be;0.44;
35;J18;Cb;0.68;
35;J18;Dc;0.25;
35;J18;Dg;0.2;
35;J18;Hl;0.32;
35;J18;Hp;0.96;
35;J18;Pg;0.44;
35;J18;Ra;NA;set to associated monoculture value
36;J18;Cb;0.76;
36;J18;Dg;0.44;
36;J18;Hl;0.28;
36;J18;Lp;0.48;
36;J18;Pt;0.4;
36;J18;To;1.76;
37;J18;Ao;NA;set to associated monoculture value
37;J18;Dc;NA;set to associated monoculture value
37;J18;Fr;NA;set to associated monoculture value
37;J18;Pm;NA;set to associated monoculture value
38;J18;Ao;NA;set to associated monoculture value
38;J18;Dc;NA;set to associated monoculture value
38;J18;Dg;NA;set to associated monoculture value
38;J18;To;NA;set to associated monoculture value
39;J18;Cb;0.48;
39;J18;Hp;0.32;
39;J18;Lp;0.88;
39;J18;Pg;0.12;
40;J18;Ga;1.28;
40;J18;Hl;0.6;
40;J18;Lp;0.8;
