Plot;Harvest;Species;Infection;Notes
1;A16;Cj;0.1;
1;A16;Dg;0.85;
1;A16;Sp;0.3;
1;A16;To;0.5;
2;A16;Dc;0;
2;A16;Lp;1;
2;A16;Pm;0.05;
2;A16;To;0.5;
3;A16;Ao;1;
3;A16;Be;NA;set to associated monoculture value
3;A16;Cb;1;
3;A16;Cj;0.2;
3;A16;Hl;0.5;
3;A16;Hp;0.9;
3;A16;Lp;1;
3;A16;To;0.9;
4;A16;Dg;0.9;
5;A16;Ao;0.6;
5;A16;Dg;1;
5;A16;Hp;1;
5;A16;Ra;1;
6;A16;Pm;0.05;
7;A16;Dg;1;
7;A16;Hl;1;
7;A16;Pt;1;
8;A16;Ao;1;
9;A16;Dg;1;
9;A16;Lp;1;
9;A16;To;0.6;
10;A16;Ao;0.5;
10;A16;Cj;0.25;
10;A16;Dc;0.5;
10;A16;Sp;0.25;
11;A16;Ao;0.5;
11;A16;Be;NA;set to associated monoculture value
11;A16;Cj;0.25;
11;A16;Dc;0.8;
11;A16;Fr;1;
11;A16;Pg;1;
11;A16;Pm;0;
11;A16;Sp;0;
12;A16;Cb;0.8;
12;A16;Dg;0;
12;A16;Ga;0;
12;A16;Lp;1;
12;A16;Pt;0.33;
12;A16;Ra;0.5;
13;A16;Cb;0.2;
13;A16;Ga;0;
13;A16;Hl;1;
14;A16;Am;0;
14;A16;Dc;0.15;
14;A16;Lp;1;
14;A16;To;1;
15;A16;Dc;0.3;
15;A16;Hp;0.75;
15;A16;Pg;0.7;
15;A16;Sp;0.05;
16;A16;Dc;0.2;
17;A16;Ra;1;
18;A16;Be;NA;set to associated monoculture value
18;A16;Dc;0.7;
18;A16;Fr;0;
18;A16;Ga;NA;set to associated monoculture value
18;A16;Lp;1;
18;A16;Pt;0.5;
18;A16;Sp;0.1;
18;A16;To;1;
19;A16;Cb;1;
19;A16;Dg;1;
19;A16;Pt;0.5;
19;A16;To;1;
20;A16;Pt;0.05;
21;A16;Am;0;
21;A16;Ao;NA;set to associated monoculture value
21;A16;Be;1;
21;A16;Cb;1;
21;A16;Cj;0;
21;A16;Dc;0.2;
21;A16;Dg;1;
21;A16;Fr;0.66;
21;A16;Ga;0;
21;A16;Hl;1;
21;A16;Hp;1;
21;A16;Lp;1;
21;A16;Pg;1;
21;A16;Pm;0;
21;A16;Pt;0;
21;A16;Ra;1;
21;A16;Sp;0.25;
21;A16;To;1;
22;A16;Ao;1;
22;A16;Cj;0.05;
22;A16;Hp;1;
22;A16;Pg;0.5;
23;A16;Am;0;
23;A16;Cj;0;
23;A16;Fr;0.9;
23;A16;Hp;0.75;
24;A16;Dg;1;
24;A16;Lp;1;
24;A16;Pt;0.25;
24;A16;To;1;
25;A16;Hp;1;
25;A16;Pg;0.5;
25;A16;Pm;0.05;
25;A16;Sp;0.15;
26;A16;Hl;1;
27;A16;Dg;1;
27;A16;Lp;1;
27;A16;Ra;0.75;
