Block;Plot;Nitrogen;Fungicide;composition;Species_diversity;N;Functional_composition;Sown_sla;Sown_mpd_sla;Notes
1;1;1;1;41M;4;4;mixed;20.92078116;0.080670161;
1;2;0;1;42M;4;4;mixed;19.19464873;0.120569472;
1;3;1;0;85M;8;8;mixed;21.50242169;0.110699875;
1;4;1;0;Dg;1;NA;fast;22.74446252;0;
1;5;0;0;43M;4;4;mixed;25.38088838;0.218182941;
1;6;0;0;Pm;1;NA;slow;16.38930548;0;
1;7;1;1;47F;4;3;fast;24.99139887;0.103198281;
1;8;1;0;Ao;1;NA;slow;26.31635653;0;
1;9;0;1;44F;4;3;fast;19.96523589;0.137374963;
1;10;1;0;47S;4;4;slow;20.77531408;0.112928052;
1;11;0;1;83S;8;8;slow;19.10541539;0.14206468;
1;12;0;1;85F;8;6;fast;24.82630578;0.300692784;
1;13;0;1;41F;4;3;fast;23.01370794;0.147752727;
1;14;1;0;46M;4;4;mixed;18.29800282;0.147232268;
1;15;0;0;42S;4;4;slow;19.56330635;0.074902161;
1;16;1;1;Dc;1;NA;slow;17.40814705;0;
1;17;1;0;Ra;1;NA;fast;33.32426724;0;
1;18;0;0;83M;8;8;mixed;21.99629718;0.248107225;
1;19;1;0;48F;4;4;fast;26.45443042;0.305914142;
1;20;1;1;Pt;1;NA;fast;39.00905368;0;
1;21;0;0;201;20;18;mixed;21.45168042;0.204865872;
1;22;1;0;43S;4;4;slow;22.04011337;0.090921946;
1;23;0;1;44S;4;4;slow;16.53690177;0.146266735;
1;24;1;0;49F;4;4;fast;26.18366465;0.252588305;
1;25;1;0;48S;4;4;slow;19.30859596;0.107615381;
1;26;1;1;Hl;1;NA;fast;24.07674063;0;
1;27;0;0;45F;4;3;fast;22.90582536;0.324871113;
1;28;1;0;85S;8;8;slow;19.09911541;0.126180409;
1;29;0;1;89S;8;8;slow;18.05620292;0.116141717;
1;30;1;0;Am;1;NA;slow;12.80272186;0;
1;31;0;1;As;1;NA;fast;18.92764503;0;As monoculture -> excluded
1;32;1;0;Lp;1;NA;fast;21.41923304;0;
1;33;0;1;45M;4;4;mixed;26.38518008;0.430224313;
1;34;1;0;81M;8;8;mixed;24.03507634;0.208068806;
1;35;0;0;810M;8;8;mixed;22.31607622;0.188397747;
1;36;0;1;83F;8;6;fast;23.04708488;0.204881139;
1;37;0;0;49S;4;4;slow;18.53308535;0.180589893;
1;38;0;0;44M;4;4;mixed;22.00771886;0.155070055;
1;39;0;1;49M;4;4;mixed;21.39443511;0.125665011;
1;40;1;0;87F;8;6;fast;24.8752922;0.362719796;
1;41;1;1;82S;8;8;slow;17.88473764;0.140143625;
1;42;1;0;45S;4;4;slow;17.70045579;0.111584193;
1;43;1;0;202;20;18;mixed;21.45168042;0.19970942;
1;44;0;1;87M;8;7;mixed;22.13740542;0.248263534;
1;45;1;1;Be;1;NA;slow;16.81648496;0;
1;46;0;0;410S;4;4;slow;18.06901948;0.208249366;
1;47;0;1;Pg;1;NA;slow;22.51774405;0;
1;48;1;1;82F;8;6;fast;23.68819949;0.196645019;
1;49;0;1;89M;8;6;mixed;19.26941218;0.149337048;
1;50;1;1;88S;8;8;slow;17.75986031;0.146682966;
1;51;1;1;84S;8;8;slow;17.41621106;0.122056476;
1;52;1;0;To;1;NA;fast;21.56190935;0;
1;53;0;1;46F;4;3;fast;24.18805459;0.310206343;
1;54;0;0;87S;8;8;slow;18.95343909;0.143712515;
1;55;0;0;46S;4;4;slow;18.22913273;0.230445706;
1;56;0;0;Cj;1;NA;slow;20.18788567;0;
1;57;1;0;86S;8;8;slow;18.87338246;0.147332881;
1;58;0;0;43F;4;3;fast;25.38613119;0.310206343;
1;59;1;0;203;20;18;mixed;21.45168042;0.205872203;
1;60;0;1;Cb;1;NA;fast;22.50229612;0;
1;61;1;0;84F;8;6;fast;23.55281661;0.275467362;
1;62;0;0;810S;8;8;slow;18.39855994;0.151751736;
1;63;0;1;88F;8;6;fast;21.48947191;0.149612505;
1;64;0;1;410F;4;4;fast;23.63660494;0.183728827;
1;65;0;1;810F;8;7;fast;25.75462712;0.27594092;
1;66;0;0;410M;4;3;mixed;18.41592412;0.176378153;
1;67;0;0;Hp;1;NA;slow;19.13846723;0;
1;68;0;0;41S;4;4;slow;20.76012964;0.167383239;
1;69;1;1;89F;8;6;fast;22.97760119;0.202149818;
1;70;0;0;82M;8;7;mixed;21.37988027;0.337055733;
1;71;0;1;Fr;1;NA;slow;14.01853232;0;
1;72;0;0;86M;8;8;mixed;21.28028124;0.187588637;
1;73;1;0;88M;8;7;mixed;21.6688721;0.240293246;
1;74;0;1;42F;4;3;fast;24.32702197;0.327327454;
1;75;1;0;48M;4;4;mixed;20.32896244;0.236771047;
1;76;1;1;84M;8;6;mixed;19.60133509;0.246376522;
1;77;0;1;47M;4;4;mixed;19.98974299;0.267156208;
1;78;1;0;Ga;1;NA;fast;26.54814996;0;
1;79;1;1;Sp;1;NA;slow;19.18886709;0;
1;80;1;0;81F;8;6;fast;24.67848663;0.325050615;
1;81;0;1;Hs;1;NA;fast;14.13533866;0;Hs monoculture -> excluded
1;82;0;1;81S;8;8;slow;18.53102948;0.15316396;
1;83;1;1;204;20;18;mixed;21.45168042;0.167640048;
1;84;1;0;86F;8;7;fast;25.92116188;0.22776944;
2;85;0;0;84S;8;8;slow;17.41621106;0.119106243;
2;86;0;1;82F;8;6;fast;23.68819949;0.189439331;
2;87;1;1;88M;8;7;mixed;21.6688721;0.270149606;
2;88;1;0;Pg;1;NA;slow;22.51774405;0;
2;89;1;1;81F;8;6;fast;24.67848663;0.341710749;
2;90;0;0;87M;8;7;mixed;22.13740542;0.192587611;
2;91;1;1;Ao;1;NA;slow;26.31635653;0;
2;92;1;1;43S;4;4;slow;22.04011337;0.10993419;
2;93;0;0;Lp;1;NA;fast;21.41923304;0;
2;94;1;0;89F;8;6;fast;22.97760119;0.140674302;
2;95;0;0;Dc;1;NA;slow;17.40814705;0;
2;96;0;1;Cj;1;NA;slow;20.18788567;0;
2;97;1;1;Fr;1;NA;slow;14.01853232;0;
2;98;1;0;81S;8;8;slow;18.53102948;0.140548812;
2;99;1;0;204;20;18;mixed;21.45168042;0.201069939;
2;100;0;1;810M;8;8;mixed;22.31607622;0.197683402;
2;101;0;0;44F;4;3;fast;19.96523589;0.144584136;
2;102;1;1;41F;4;3;fast;23.01370794;0.174130825;
2;103;0;1;86F;8;7;fast;25.92116188;0.318805407;
2;104;1;0;45F;4;3;fast;22.90582536;0.160654682;
2;105;0;1;84M;8;6;mixed;19.60133509;0.222319872;
2;106;1;1;49F;4;4;fast;26.18366465;0.353744865;
2;107;1;1;83M;8;8;mixed;21.99629718;0.245732568;
2;108;0;1;41M;4;4;mixed;20.92078116;0.080670161;
2;109;0;1;48S;4;4;slow;19.30859596;0.107615381;
2;110;0;1;82M;8;7;mixed;21.37988027;0.32774014;
2;111;1;1;43M;4;4;mixed;25.38088838;0.221093002;
2;112;0;1;46S;4;4;slow;18.22913273;0.191472803;
2;113;1;1;Cb;1;NA;fast;22.50229612;0;
2;114;0;0;Pt;1;NA;fast;39.00905368;0;
2;115;1;1;To;1;NA;fast;21.56190935;0;
2;116;1;0;410F;4;4;fast;23.63660494;0.183728827;
2;117;0;0;203;20;18;mixed;21.45168042;0.194643892;
2;118;0;0;86S;8;8;slow;18.87338246;0.147332881;
2;119;0;0;As;1;NA;fast;18.92764503;0;As monoculture -> excluded
2;120;0;1;82S;8;8;slow;17.88473764;0.150786197;
2;121;0;1;Hp;1;NA;slow;19.13846723;0;
2;122;0;0;89M;8;6;mixed;19.26941218;0.154084105;
2;123;0;0;85M;8;8;mixed;21.50242169;0.131243388;
2;124;1;1;45S;4;4;slow;17.70045579;0.111584193;
2;125;0;0;83S;8;8;slow;19.10541539;0.138075085;
2;126;0;1;Sp;1;NA;slow;19.18886709;0;
2;127;0;1;41S;4;4;slow;20.76012964;0.167343241;
2;128;1;1;47S;4;4;slow;20.77531408;0.118739187;
2;129;0;0;Dg;1;NA;fast;22.74446252;0;
2;130;1;0;Hl;1;NA;fast;24.07674063;0;
2;131;1;0;810F;8;7;fast;25.75462712;0.312599259;
2;132;1;0;85F;8;6;fast;24.82630578;0.308052356;
2;133;1;1;49S;4;4;slow;18.53308535;0.197459469;
2;134;0;1;Am;1;NA;slow;12.80272186;0;
2;135;0;0;87F;8;6;fast;24.8752922;0.353849625;
2;136;0;0;83F;8;6;fast;23.04708488;0.248990285;
2;137;1;0;410M;4;3;mixed;18.41592412;0.176378153;
2;138;0;0;48M;4;4;mixed;20.32896244;0.288525692;
2;139;1;1;48F;4;4;fast;26.45443042;0.305914142;
2;140;0;1;43F;4;3;fast;25.38613119;0.282422029;
2;141;0;1;85S;8;8;slow;19.09911541;0.141799455;
2;142;1;0;46F;4;3;fast;24.18805459;0.302141889;
2;143;1;0;42M;4;4;mixed;19.19464873;0.120569472;
2;144;1;1;49M;4;4;mixed;21.39443511;0.125665011;
2;145;1;1;47M;4;4;mixed;19.98974299;0.267156208;
2;146;1;1;Ga;1;NA;fast;26.54814996;0;
2;147;1;1;81M;8;8;mixed;24.03507634;0.213314034;
2;148;0;1;Be;1;NA;slow;16.81648496;0;
2;149;1;1;42S;4;4;slow;19.56330635;0.074902161;
2;150;1;1;87S;8;8;slow;18.95343909;0.143712515;
2;151;1;1;46M;4;4;mixed;18.29800282;0.147232268;
2;152;1;1;45M;4;4;mixed;26.38518008;0.282368708;
2;153;1;1;89S;8;8;slow;18.05620292;0.115092343;
2;154;0;1;84F;8;6;fast;23.55281661;0.271849714;
2;155;0;0;88S;8;8;slow;17.75986031;0.139649076;Hs monoculture -> excluded
2;156;1;0;Hs;1;NA;fast;14.13533866;0;
2;157;1;1;410S;4;4;slow;18.06901948;0.208249366;
2;158;0;1;202;20;18;mixed;21.45168042;0.215345596;
2;159;0;0;42F;4;3;fast;24.32702197;0.427144704;
2;160;0;0;44S;4;4;slow;16.53690177;0.146266735;
2;161;0;0;88F;8;6;fast;21.48947191;0.149612505;
2;162;1;1;810S;8;8;slow;18.39855994;0.151751736;
2;163;1;1;86M;8;8;mixed;21.28028124;0.183340374;
2;164;0;1;Pm;1;NA;slow;16.38930548;0;
2;165;0;1;47F;4;3;fast;24.99139887;0.404078192;
2;166;1;1;201;20;18;mixed;21.45168042;0.190871017;
2;167;0;1;Ra;1;NA;fast;33.32426724;0;
2;168;0;1;44M;4;4;mixed;22.00771886;0.16714453;
3;169;0;1;Dg;1;NA;fast;22.74446252;0;
3;170;1;0;84M;8;6;mixed;19.60133509;0.238402252;
3;171;0;1;201;20;18;mixed;21.45168042;0.237505328;
3;172;1;0;49M;4;4;mixed;21.39443511;0.125665011;
3;173;1;1;46S;4;4;slow;18.22913273;0.230445706;
3;174;1;0;82S;8;8;slow;17.88473764;0.158200818;
3;175;0;1;47S;4;4;slow;20.77531408;0.148537925;
3;176;1;0;Dc;1;NA;slow;17.40814705;0;
3;177;1;0;88F;8;6;fast;21.48947191;0.149612505;
3;178;1;0;Pm;1;NA;slow;16.38930548;0;
3;179;1;0;44M;4;4;mixed;22.00771886;0.124585776;
3;180;1;0;88S;8;8;slow;17.75986031;0.137500069;
3;181;1;0;42S;4;4;slow;19.56330635;0.074902161;
3;182;0;1;Ga;1;NA;fast;26.54814996;0;
3;183;1;0;83F;8;6;fast;23.04708488;0.257564233;
3;184;1;1;43F;4;3;fast;25.38613119;0.310206343;
3;185;1;1;89M;8;6;mixed;19.26941218;0.14859688;
3;186;1;1;85S;8;8;slow;19.09911541;0.139074082;
3;187;0;1;81M;8;8;mixed;24.03507634;0.1445349;
3;188;1;0;47F;4;3;fast;24.99139887;0.337925779;
3;189;1;1;82M;8;7;mixed;21.37988027;0.310109354;
3;190;1;1;203;20;18;mixed;21.45168042;0.193498538;
3;191;0;1;410M;4;3;mixed;18.41592412;0.176378153;
3;192;1;1;86F;8;7;fast;25.92116188;0.311218749;
3;193;0;1;46M;4;4;mixed;18.29800282;0.147232268;
3;194;0;0;42M;4;4;mixed;19.19464873;0.120569472;
3;195;1;1;48M;4;4;mixed;20.32896244;0.236771047;
3;196;1;1;84F;8;6;fast;23.55281661;0.285769682;
3;197;1;1;Lp;1;NA;fast;21.41923304;0;
3;198;0;0;Sp;1;NA;slow;19.18886709;0;
3;199;0;0;Fr;1;NA;slow;14.01853232;0;
3;200;0;0;46F;4;3;fast;24.18805459;0.310206343;
3;201;1;0;410S;4;4;slow;18.06901948;0.208249366;
3;202;1;0;Cb;1;NA;fast;22.50229612;0;
3;203;1;0;84S;8;8;slow;17.41621106;0.122056476;
3;204;1;0;83S;8;8;slow;19.10541539;0.141507976;
3;205;0;1;81F;8;6;fast;24.67848663;0.270795241;
3;206;0;1;87F;8;6;fast;24.8752922;0.29625841;
3;207;0;0;41M;4;4;mixed;20.92078116;0.080670161;
3;208;1;1;41S;4;4;slow;20.76012964;0.167383239;
3;209;0;1;43S;4;4;slow;22.04011337;0.10993419;
3;210;1;0;As;1;NA;fast;18.92764503;0;As monoculture -> excluded
3;211;0;0;81S;8;8;slow;18.53102948;0.149564195;
3;212;0;1;To;1;NA;fast;21.56190935;0;
3;213;0;0;89S;8;8;slow;18.05620292;0.115709382;
3;214;0;1;45F;4;3;fast;22.90582536;0.306047437;
3;215;1;0;45M;4;4;mixed;26.38518008;0.54177868;
3;216;1;0;Hp;1;NA;slow;19.13846723;0;
3;217;1;1;85M;8;8;mixed;21.50242169;0.128505298;
3;218;0;0;49F;4;4;fast;26.18366465;0.3961906;
3;219;0;0;Hl;1;NA;fast;24.07674063;0;
3;220;1;1;410F;4;4;fast;23.63660494;0.183728827;
