"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0.133333333,0.133333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.75,20.92078116,1.27002786067752
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.459770115,0.08045977,0.344827586,0.114942529,0,0,0,0,0,0,0,0,0,0,0,NA,1.55,19.19464873,1.17581246832731
1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0.212765957,0,0,0.265957447,0,0.212765957,0,0.010638298,0.010638298,0.265957447,0.010638298,0.010638298,0,0,0,0,0,0,NA,5.5,21.50242169,1.55634710088907
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.9,22.74446252,0
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.1875,0,0,0,0.3125,0.375,0,0,0,0,0,NA,3.6,25.38088838,1.30509637194834
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0.05,16.38930548,0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0.571428571,0,0,0,0,0,0,0,0,0.142857143,0,0,0.285714286,0,0,0,0,NA,3,24.99139887,0.955699891508618
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,26.31635653,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.071428571,0,0.5,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.6,19.96523589,0.898205338936253
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.446428571,0,0.357142857,0,0.178571429,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,NA,1.5,20.77531408,1.10727326257857
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0.178571429,0,0.267857143,0,0.089285714,0,0.089285714,0.017857143,0,0,0,0,0,0,0.089285714,0.267857143,0,0,NA,3.55,19.10541539,1.73233516089843
0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.014705882,0,0,0,0.25,0,0,0,0.441176471,0,0,0.220588235,0.014705882,0,0,0.058823529,0,NA,2.63,24.82630578,1.33176536755176
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.660377358,0.113207547,0,0,0,0,0,0.226415094,0,NA,1.2,23.01370794,0.856959483803684
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.157894737,0.105263158,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0.526315789,NA,2.15,18.29800282,1.19427268490074
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.705128205,0,0.064102564,0,0,0,0,0,0,0.012820513,0,0,0,0.217948718,0,0,NA,1.8,19.56330635,0.810360858006309
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.2,17.40814705,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,33.32426724,0
