"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
4.64,2.9,20.92078116,0.823208919376267
4.68,1.6,20.92078116,0.774504283456711
3.833684211,2.9,20.92078116,1.05203357686964
5.04,2.7,20.92078116,1.11207468371618
0,2.6,19.96523589,0.565592155624122
0,1.9,19.96523589,0.722223879757458
0,0.8,19.96523589,0.730391219905423
0,3,19.96523589,0.523302145510465
0,5,24.82630578,1.26586725006847
0,1.63,24.82630578,1.50225065462112
0,2.1,24.82630578,1.15898513956203
0,4.5,24.82630578,1.07166198408571
0,4.3,18.05620292,1.89539150136884
0,2.45,18.05620292,1.66268598627552
0,2.9,18.05620292,1.34345609410782
0,3.55,18.05620292,1.74755455185932
2.6,2.33,17.70045579,0.883541951000075
1.24,1.15,17.70045579,0.944378708999244
2.32,1.8,17.70045579,0.69539553084017
2.84,0.55,17.70045579,0.760468802251346
2.384615385,2.8,23.68819949,0.755860104667833
4.4,5.4,23.68819949,1.06273236918108
4.48,4.84,23.68819949,1.36143655260054
3.739220779,1.25,23.68819949,1.20287555281643
0.4,0.8,14.01853232,0
0.88,0.8,14.01853232,0
0.8,0.6,14.01853232,0
0.48,0.05,14.01853232,0
0,4.8,21.28028124,1.55186759508846
0,3.15,21.28028124,1.82477884914694
0,3.3,21.28028124,1.10328860958401
0,5.17,21.28028124,1.95232184735562
2.28,2.33,24.32702197,0.760092831910692
1.04,1.55,24.32702197,0.77318869664309
1.6,2.2,24.32702197,0.514653165707194
1.8,3,24.32702197,1.04058055898333
0,3.37,25.92116188,0.838310731406414
0,1.45,25.92116188,1.29421558637705
0,4.9,25.92116188,1.53197332452101
0,4.35,25.92116188,1.35014944114466
