"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,2.71,19.96523589,0.900955307538137
0,2.7,19.96523589,1.05790542470367
0,1.9,19.96523589,0.722223879757458
0,3,19.96523589,0.523302145510465
1.32,2.55,23.01370794,0.733354769320088
1.68,2.05,23.01370794,0.58628440968132
0.68,1.5,23.01370794,0.823959215807935
1.28,2.9,23.01370794,0.876493017480545
4.36,4.87,21.99629718,1.2061787975201
5.214117647,1.2,21.99629718,0.976135378563739
4.76,5.27,21.99629718,1.79288097249678
4.28,1.4,21.99629718,1.64231020596204
0,4.99,18.05620292,1.53444772053172
0,2.9,18.05620292,1.34345609410782
0,2.9,18.05620292,1.65468445538192
0,3.55,18.05620292,1.74755455185932
0.6,0.9,18.06901948,1.19222466426523
1.08,1.2,18.06901948,0.633039512061119
1.32,0.4,18.06901948,0.971998004019771
1.126666667,3.4,18.06901948,0.553829523814207
1.84,1.5,17.75986031,1.79921344830622
4.284444444,3.9,17.75986031,1.58864361104195
4.36,3.2,17.75986031,1.64001036885442
3.48,2.1,17.75986031,1.84251252502968
2.56,1.3,18.41592412,0.587765695847704
1.6,0.3,18.41592412,0.555250567129772
1.92,2.3,18.41592412,0.78670123883463
2.32,2.1,18.41592412,0.65104176437463
2.08,1.15,20.76012964,0.683694559124711
2.596363636,2.97,20.76012964,0.697798703811205
1.36,0.75,20.76012964,1.16017233479898
1.64,1.65,20.76012964,0.372669755935631
0,5,21.28028124,1.43028180488901
0,6.85,21.28028124,1.13707285425854
0,3.65,21.28028124,1.83512323956314
0,3.3,21.28028124,1.10328860958401
0.76,0.95,26.54814996,0
0.2,1,26.54814996,0
0.56,0.25,26.54814996,0
0.16,1,26.54814996,0
